id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category,DSE_threshold,DSE_b_entropy,category_dse
train::0,['mesophilic organisms'],bacteria,0.0,"['bacteria', 'bacteria', 'bacteria', 'lactic acid bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria']",0.3250829733914482,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,-0.9792386889457704,True,0.8181818181818182,correct_high,0.32561809404461245,0,correct_high
train::1,['coriolis effect'],Coriolis effect,1.0,"['Coriolis effect', 'Coriolis effect', 'coriolis effect', 'coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'coriolis effect', 'Coriolis effect']",-0.0,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,-0.0010545651894062,True,1.0,correct_high,0.32561809404461245,0,correct_high
train::10,['active metal'],reactive element,0.0,"['reactive element', 'reactive element', 'reactive element', 'reactive element', 'reactive element', 'reactive element', 'reactive metal', 'reactive element', 'reactive element', 'reactive metal']",-0.0,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",-0.0087504275143146,True,0.6727272727272727,correct_high,0.32561809404461245,0,correct_high
train::100,['equilibrium'],equilibrium,1.0,"['equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium']",-0.0,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",-0.0003440980217419,True,1.0,correct_high,0.32561809404461245,0,correct_high
train::1000,['mechanical energy'],kinetic energy,1.0,"['kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy']",-0.0,What is the term for the energy of movement?,-0.0003451705269981,True,1.0,correct_high,0.32561809404461245,0,correct_high
train::10000,['nonliving environment'],nonliving things,1.0,"['nonliving things', 'nonliving things', 'their physical environment', 'their environment', 'nonliving things', 'nonliving things', 'their physical environment', 'nonliving things', 'nonliving things', 'nonliving things']",0.8018185525433372,An ecosystem consists of all the living things and what?,-0.0066397995688021,True,0.5272727272727272,correct_high,0.32561809404461245,1,correct_low
train::10001,['photosynthesis'],photosynthesis,1.0,"['photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis']",-0.0,Mesophyll consists mainly of parenchyma cells specialized for what?,-0.0003059634473174,True,1.0,correct_high,0.32561809404461245,0,correct_high
train::10002,['bacterial'],bacterial,1.0,"['bacterial', 'bacterial', 'bacterial infections', 'bacterial', 'bacterial', 'bacterial infections', 'bacterial infections', 'bacterial infections', 'bacterial', 'bacterial infections']",-0.0,Antibiotic drugs are usually effective in treating what kind of infections?,-0.4749404788017273,True,0.4545454545454545,correct_low,0.32561809404461245,0,correct_high
train::10003,['true north'],geographical north pole,0.0,"['geographical North Pole', 'geomagnetic north pole', 'geographical north pole', 'geographic north pole', 'magnetic south pole', 'geographic north pole', 'geomagnetic north pole', 'geomagnetic north pole', 'geomagnetic north pole', 'geographical north pole']",0.9433483923290392,What is earth’s geographic north pole also called?,-0.5887224078178406,True,0.2363636363636363,correct_low,0.32561809404461245,1,correct_low
train::10004,['abiotic factors'],abiotic factors,1.0,"['abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors']",-0.0,What are the nonliving aspects of the environment called?,-0.0002458985254634,True,1.0,correct_high,0.32561809404461245,0,correct_high
