id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
train::7679,in the tropics,tropical rainforests,0.0,"['rainforests', 'rainforests', 'tropical rainforests', 'rainforests', 'tropical rainforests', 'rainforests', 'tropical rainforests', 'rainforests', 'tropical rainforests', 'rainforests']",0.6730116670092565,Where do you find the greatest biodiversity?,-0.1133465692400932,True,0.4545454545454545,correct_low
train::3731,liquid nitrogen,liquid helium,1.0,"['liquid helium', 'liquid helium', 'liquid helium', 'liquid helium', 'liquid helium', 'liquid helium', 'liquid helium', 'liquid helium', 'liquid helium', 'liquid helium']",-0.0,What is used for cooling detectors of infrared telescopes?,-0.252240240573883,False,1.0,incorrect_high
train::9446,asymmetrically,it splits,0.0,"['It splits.', 'It splits.', 'it splits', 'it splits', 'it splits', 'it splits', 'it splits', 'it splits', 'it splits', 'it splits']",-0.0,How does the nucleus divide during nuclear fission?,-0.1607710570096969,False,0.6727272727272727,incorrect_high
train::3185,threaten other species,They outcompete native species.,0.0,"['They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.', 'They outcompete native species.']",-0.0,Why are exotic species also called invasive species?,-0.038243256509304,True,1.0,correct_high
validation::924,electrons,electrons,1.0,"['electrons', 'electrons', 'electrons', 'electrons', 'electrons', 'electrons', 'electrons', 'electrons', 'electrons', 'electrons']",-0.0,"Reduction often involves the gain of hydrogen, the loss of oxygen, or the gain of what?",-0.0623050406575202,True,1.0,correct_high
train::2429,an ion,ion,1.0,"['ion', 'ion', 'ion', 'ion', 'ion', 'ion', 'ion', 'ion', 'ion', 'ion']",-0.0,What is an atom or group of bonded atoms that has a positive or negative charge?,-0.0432689115405082,True,1.0,correct_high
train::8476,antarctica,antarctica,1.0,"['antarctica', 'antarctica', 'antarctica', 'antarctica', 'antarctica', 'antarctica', 'antarctica', 'antarctica', 'antarctica', 'antarctica']",-0.0,"Pauropods, presumed relatives of millipedes usually found in soil, leaf litter and other moist places, live on all continents except what?",-0.0338498838245868,True,1.0,correct_high
validation::574,space,Earth orbit.,0.0,"['orbit/space', 'orbit', 'orbit.', 'space', 'Earth orbit.', 'Earth orbit.', 'Earth orbit.', 'Earth orbit.', 'Earth orbit.', 'space/orbit']",1.0296530140645737,Space shuttles are reusable vehicles designed to get astronauts where?,-0.1605621427297592,True,0.2727272727272727,correct_low
train::10445,trans fats,saturated fats,1.0,"['saturated fats', 'saturated fats', 'saturated fats', 'saturated fats', 'saturated fats', 'saturated fats', 'saturated fats', 'saturated fats', 'saturated fats', 'saturated fats']",-0.0,What kind of fats have been implicated in the presence of heart disease?,-0.0207104068249464,False,1.0,incorrect_high
train::3992,sunlight,the sun,0.0,"['the sun', 'the sun', 'the sun', 'the sun', 'the sun', 'the sun', 'the sun', 'the sun', 'the sun', 'the sun']",-0.0,What do most ecosystems get energy from?,-0.0183356087654829,True,1.0,correct_high
train::3561,curved,vacuum,0.0,"['a vacuum', 'vacuum', 'a vacuum', 'a vacuum', 'not a vacuum', 'empty', 'vacuum', 'not a vacuum', 'vacuum', 'a vacuum']",-0.0,"When there is no mass in a volume of space, the space is not what?",-1.8058271408081048,False,0.2363636363636363,incorrect_low
train::9830,lymphocytes,liver,0.0,"['fever', 'liver', 'liver', 'lysosomes', 'lysosomes', 'fever', 'liver', 'fever', 'lysosomes', 'liver']",1.0888999753452238,What destroys the filtered pathogens?,-2.812985420227051,False,0.2909090909090909,incorrect_low
