Unnamed: 0,id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
0,train::577,['500'],400,0.0,"['300', '$400', '500', '400', '$400', '400', '$600', '300', '$300', '$250']",1.28,Rachel and Sara want to attend a beauty and modeling contest. They both want to buy new pairs of shoes and dresses. Sara buys a pair of shoes which costs $50 and a dress which costs $200. How much should Rachel budget if she wants to spend twice as much as what Sara spent on the pair of shoes and dress?,-0.8985065221786499,False,0.09090909090909091,incorrect_low
1,validation::547,['70'],140,0.0,"['120', '130', '130', '92', '85', '75', '200', '65', '140', '80']",2.16,"Amanda's car takes five fewer minutes to complete the same trip to the beach than the bus. If the bus takes 40 minutes to drive 80 miles to the beach, how many minutes will it take the car to make a round trip?",-1.6011134386062622,False,0.03636363636363636,incorrect_low
2,train::1475,['6'],10,0.0,"['10', '10', '7', '7', '5', '5', '3', '15', '15', '10']",1.56,"A school principal is booking hotel rooms for a class of 30 students to stay at during an overnight field trip.  Each of the hotel's rooms has two queen size beds, which can fit two students each, and a pull-out couch, which can fit one student.  How many rooms does the principal need to book to fit all of the students in the class?",-0.1613784879446029,False,0.16363636363636364,incorrect_low
3,train::1585,['14'],14,1.0,"['8', '16', '18', '10', '14', '20', '26', '22', '16', '26']",1.64,"Kendra has 4 packs of pens. Tony has 2 packs of pens. There are 3 pens in each pack. If Kendra and Tony decide to keep two pens each and give the remaining pens to their friends one pen per friend, how many friends will they give pens to?",-0.7580950856208801,True,0.05454545454545454,correct_low
4,train::1750,['5'],5,1.0,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",-0.0,Mark is looking to buy a total of 12 pieces of fruit at the store. He has already chosen 3 apples. He has also selected a bunch of bananas containing 4 bananas. How many oranges does he need to pick out to have 12 total pieces of fruit?,-0.0347127877175807,True,1.0,correct_high
5,train::1180,['32'],6,0.0,"['1.5', '4', '6', '11.50', '$24', '12', '6', '9', '2', '$10.00']",2.16,"Lighters cost $1.75 each at the gas station, or $5.00 per pack of twelve on Amazon. How much would Amanda save by buying 24 lighters online instead of at the gas station?",-0.6934683918952942,False,0.05454545454545454,incorrect_low
6,train::1092,['340'],400,0.0,"['150', '160', '460', '400', '600', '$1000', '490', '90', '$750', '250.50']",2.16,"Paul earns $12.50 for each hour that he works. He then has to pay 20% for taxes and fees. After working 40 hours, Paul receives his paycheck. If he spends 15% of his paycheck on gummy bears, how much, in dollars, does he have left?",-1.223840832710266,False,0.01818181818181818,incorrect_low
7,train::1896,['2'],1000,0.0,"['2000', '200', '2000', '2000', '10', '5', '100', '1000', '800', '4000']",1.97,"The cost of Joe's new HVAC system is $20,000.  It includes 2 conditioning zones, each with 5 vents.  In dollars, what is the cost of the system per vent?",-1.7017033100128174,False,0.07272727272727272,incorrect_low
8,train::725,['25'],20,0.0,"['40', '21', '2', '100', '50', '30', '20', '5', '36', '15']",2.16,"A printing press is printing brochures. The press prints 20 single-page spreads, and twice as many double-page spreads. For each 4 pages printed for the spreads, the press prints a block of 4 ads, each of which take up a quarter of a page. The brochures can be arranged in any order as long as they are made up of 5 pages each. How many brochures is the printing press creating?",-1.911193370819092,False,0.01818181818181818,incorrect_low
9,train::1261,['660'],400,0.0,"['400', '300', '700', '$460', '1200', '200', '800', '300', '840', '1000']",2.03,"John adopts a dog from a shelter.  The dog ends up having health problems and this requires 3 vet appointments,  which cost $400 each.  After the first appointment, John paid $100 for pet insurance that covers 80% of the subsequent visits.  How much did he pay in total?",-0.974628448486328,False,0.03636363636363636,incorrect_low
