Unnamed: 0,id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
0,train::0,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,"Mike made 69 dollars mowing lawns over the summer. If he spent 24 dollars buying new mower blades, how many 5 dollar games could he buy with the money he had left?",-0.0006397108081728,True,1.0,correct_high
1,train::1,['10'],8,0.0,"['8', '8', '8', '8', '8', '8', '8', '8', '8', '8']",-0.0,"Bill is a painter who is hired to paint a client’s house. The house has three bedrooms, and twice as many other rooms as bedrooms. The client wants each bedroom painted a different color, and the other rooms painted white. Each room takes 2 gallons of paint. Color paint comes in 1-gallon paint cans, and white paint comes in 3-gallon cans. How many cans of paint will Bill need for the whole house?",-0.0487650260329246,False,1.0,incorrect_high
2,train::10,['18'],18,1.0,"['24', '18', '18', '18', '24', '24', '18', '18', '18', '24']",0.6730116670092565,Billy can spit a watermelon seed 30 inches.  Madison can spit a watermelon seed 20% farther than Billy.  Ryan can spit a watermelon seed 50% shorter than Madison.  How far can Ryan spit a watermelon seed?,-0.0183290541172027,True,0.4909090909090909,correct_low
3,train::100,['80'],40,0.0,"['40', '40', '40', '40', '40', '40', '40', '40', '40', '40']",-0.0,"Abigail has a report due tomorrow which needs to be 1000 words in length. Abigail can type 300 words in half an hour. If she has already written 200 words, how many more minutes will it take her to finish the report?",-0.00195110111963,False,1.0,incorrect_high
4,train::1000,['2500'],2500,1.0,"['2500', '2500', '2500', '3500', '2500', '2500', '2500', '2500', '3500', '2500']",0.5004024235381879,"Jonathan eats 2500 calories every day except for Saturday, when he consumes an extra 1000 calories.  He burns 3000 calories every day.  What is his weekly caloric deficit?",-8.250431060791016,True,0.6727272727272727,correct_high
5,train::1001,['45'],42,0.0,"['45', '42', '42', '90', '42', '90', '42', '42', '42', '42']",0.8018185525433373,There are 50 goldfish in the pond. Each goldfish eats 1.5 ounces of food per day. 20% of the goldfish need to eat special food that costs $3 an ounce. How much does it cost to feed these fish?,-5.130998611450195,False,0.5272727272727272,incorrect_high
6,train::1002,['26'],26,1.0,"['26', '26', '26', '26', '26', '26', '26', '26', '26', '26']",-0.0,"A waiter at 'The Greasy Spoon' restaurant had 26 customers to wait on. During the lunch rush he added another 27 customers. If 27 of the customers didn't leave him a tip, how many customers did leave a tip?",-3.5297610759735107,True,1.0,correct_high
7,train::1003,['17'],13,0.0,"['13', '13', '13', '13', '13', '13', '13', '13', '13', '13']",-0.0,There were 8 people on the bus. At the next stop 12 more people got on the bus and 3 people got off..How many people are there on the bus now?,-6.75130558013916,False,1.0,incorrect_high
8,train::1004,['60'],60,1.0,"['60', '60', '60', '60', '60', '60', '60', '60', '60', '60']",-0.0,Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars..How much money did Jason earn by delivering newspapers?,-0.0298505052924156,True,1.0,correct_high
9,train::1005,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,"A book has 8 chapters. Beth has read 2 chapters in 3 hours. If she continues reading at that rate, in how many hours will she be able to finish reading the remaining chapters?",-1.3134212493896484,True,1.0,correct_high
10,train::1007,['285'],245,0.0,"['255', '245', '245', '255', '245', '245', '245', '245', '245', '245']",-0.0,"At the gym, every day, there are 300 towels laid out for guest use.  Each guest is given 1 towel during their visit.  The gym is open from 10:00 a.m. to 2:00 p.m. In the first hour, 50 guests enter the gym.  In the second hour, 20% more guests enter than during the first hour.  In the third hour, 25% more guests enter than in the second hour.  In the fourth hour, one third more guests enter than in the third hour.  In total, how many towels do they need to wash that evening?",-5.50414514541626,False,0.6727272727272727,incorrect_high
11,train::1008,['1'],2,0.0,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",-0.0,Jack has a grove with 4 trees by 5 trees.  It takes 6 minutes to clean each tree.  He gets help to clean the trees so it only takes half as long.  How many hours did he spend cleaning trees?,-0.0013384203193709,False,1.0,incorrect_high
12,train::101,['134'],137.2,0.0,"['137.2', '141.76', '131.6', '140.8', '134.4', '140.8', '141.76', '141.6', '140.8', '137.2']",1.0296530140645737,Ajax is 80 kilograms. He is planning to lose some weight. Exercising for an hour will help him lose 1.5 pounds. If 1 kilogram is equal to 2.2 pounds How many pounds will he weigh if he exercises for 2 hours every day for two weeks?,-0.3871155977249145,False,0.12727272727272726,incorrect_low
13,train::1010,['1400'],1120 grams,0.0,"['1120 g', '1120 grams', '1120 g', '1120 g', '1120', '1120 grams', '1120 grams', '1120 grams', '1120 grams', '1120 grams']",-0.0,Matt's protein powder is 80% protein.  He weighs 80 kg and wants to eat 2 grams of protein per kilogram of body weight each day.  How much protein powder does he need to eat per week?,-0.0011991222854703,False,0.43636363636363634,incorrect_low
14,train::1011,['1172'],768,0.0,"['768', '768', '768', '768', '768', '700', '768', '700', '700', '768']",0.6108643020548935,"Nate went out to do his daily exercises. In 8 seconds, he ran a distance equal to four times the length of a football field. He rested for a while, then ran 500 more meters. If the field's length is 168 meters, how far did Nate ran?",-0.0052536763250827,False,0.5636363636363636,incorrect_high
15,train::1012,['40'],34,0.0,"['38', '34', '38', '34', '34', '34', '34', '34', '38', '34']",0.6108643020548935,Alexis can sew a skirt in 2 hours and a coat in 7 hours. How long does it take for Alexis to sew 6 skirts and 4 coats?,-2.350322723388672,False,0.5636363636363636,incorrect_high
16,train::1013,['60'],48,0.0,"['48', '48', '48', '48', '48', '48', '48', '48', '48', '48']",-0.0,Mark builds an apartment that is 16 by 10 feet.  There are 6 rooms in total.  All the rooms are the same size except the living room which is as big as 3 other rooms.  How big is the living room?,-0.0142412530258297,False,1.0,incorrect_high
17,train::1014,['3'],3,1.0,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",-0.0,Edward spent $ 6 to buy 2 books each book costing him the same amount of money. Now he has $ 12..How much did each book cost?,-0.0009251128649339,True,1.0,correct_high
18,train::1015,['13'],11,0.0,"['11', '11', '11', '11', '16', '16', '11', '11', '11', '11']",0.5004024235381879,Rachel had to complete 8 pages of math homework. If she had to complete 3 more pages of math homework than reading homework.How many pages did she have to complete in all?,-2.8120601177215576,False,0.6727272727272727,incorrect_high
19,train::1016,['192'],192,1.0,"['192', '192', '192', '192', '192', '192', '192', '192', '192', '192']",-0.0,After Jessie started to go jogging everyday she lost 126 kilograms. She currently weighs 66 kilograms..How much did she weigh before starting to jog?,-0.0022084151860326,True,1.0,correct_high
20,train::1017,['112000'],12000,0.0,"['12000', '20000', '16000', '20000', '12000', '24000', '24000', '12000', '12000', '12000']",1.0296530140645737,"Jame's buys 100 head of cattle for $40,000.  It cost 20% more than that to feed them.  They each weigh 1000 pounds and sell for $2 per pound.  How much profit did he make?",-0.1017662808299064,False,0.3090909090909091,incorrect_low
