id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::100,['6'],7,0.0,"['8', '6', '8', '7', '7', '8', '7', '6', 'Six.', 'Six.']",1.0888999753452238,How many stripes in total?,,False,0.32561809404461245,1,incorrect_low
train::105,['3'],Three.,0.0,"['Three.', 'Three.', 'Three.', 'Three.', 'Three.', 'Three.', 'Three.', 'Three.', 'Three.', 'Three.']",-0.0,how many lights are there?,,True,0.32561809404461245,0,correct_high
train::107,['lightning'],Lightning bolt.,1.0,"['Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Snowflake.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.']",0.3250829733914482,What weather symbol is on the black part of the ski?,,True,0.32561809404461245,0,correct_high
train::108,['4'],3,0.0,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",-0.0,How many people in this photo are wearing sunglasses?,,False,0.32561809404461245,0,incorrect_high
train::109,['4'],5,0.0,"['6', '5', '5', '6', '5', '5', '5', '5', 'Five.', '5']",0.5004024235381879,How many coffee cups are there?,,False,0.32561809404461245,1,incorrect_low
train::113,['england'],England.,1.0,"['England', 'England.', 'England', 'England.', 'England', 'England', 'England.', 'England.', 'England', 'England.']",-0.0,What country is on the bear's shirt?,,True,0.32561809404461245,0,correct_high
train::114,['2'],6,0.0,"['4', '6', '7', 'Five.', '6', '6', '5', '6', '6', '5']",1.1682824501765623,how many pieces of meat?,,False,0.32561809404461245,1,incorrect_low
train::117,['flowers'],Daisies.,0.0,"['Daisy flowers.', 'Daisies.', 'Daisy flowers.', 'Daisy flowers.', 'Daisies.', 'Daisies.', 'Daisy flowers.', 'Daisies.', 'Daisies.', 'Daisies.']",-0.0,what is on the blanket?,,True,0.32561809404461245,0,correct_high
train::119,['12:13'],1:51,0.0,"['1:35', '12:06', '12:28', '1:56', '1:39', '12:23', '12:08', '12:04', '1:34', '12:28']",2.163955656882057,What is the exact time?,,False,0.32561809404461245,1,incorrect_low
train::121,['6200'],6200,1.0,"['6200', '6200', '6200', '6200', '6200', '6200', '6200', '6200', '6200', '6200']",-0.0,what number is on the bottom left of the bus?,,True,0.32561809404461245,0,correct_high
train::125,['32'],31,0.0,"['31', '31', '31', '31', '31', '31', '31', '31', '31', '31']",-0.0,What is the third number in the series of four numbers on the black rectangular sign?,,False,0.32561809404461245,0,incorrect_high
train::127,['taxed'],TAXED,1.0,"['TAXED', 'TAXED', 'TAXED', 'TAXED', 'TAXED', 'TAXED', 'TAXED', 'TAXED', 'TAXED', 'TAXED']",-0.0,What's the first word on the sign?,,True,0.32561809404461245,0,correct_high
train::131,['3'],Two.,0.0,"['Two.', 'Two.', 'Two.', 'Two.', 'Two.', 'Two.', 'Two.', 'Two.', 'Two.', 'Two.']",-0.0,how many people are sitting on a motorcycle?,,False,0.32561809404461245,0,incorrect_high
