id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::0,['Fernie Alpine Resort'],"Aspen, Colorado",0.0,"['Blue Island, Illinois', 'Lake Tahoe, California', 'Sun Valley, Idaho, and Vancouver, British Columbia', 'Los Angeles', 'Park City, Utah', 'British Columbia', 'Park City, Salt Lake City, and Mammoth Mountain, California', 'Pennsylvania and Calgary', 'Lake Tahoe, United States.', 'Montreal']",2.302585092994045,where did they film hot tub time machine?,-0.8109356760978699,False,1.0931464583426274,1,incorrect_low
train::1,['Neither vessel'],ships sailing on the port side,0.0,"['vessels proceeding on the starboard side have the right of way', 'Port state has the right of visit and detain.', 'sailing vessel port-tack has priority over starboard-tack', 'Any ship has the right of way over any other ship.', 'ships approaching from behind should give way to ships that are ahead', 'the ship that is closest to the right when heading towards each other', 'The ship that was overtaking', 'No one', 'Port-state', 'starboard']",2.163955656882057,who has the right of way in international waters?,-0.9051424264907836,False,1.0931464583426274,1,incorrect_low
train::10001,['Bruce Hornsby and the Range'],Bruno Mars,0.0,"['Bob Marley', 'Bruno Mars', 'Bruce Johnston', 'Billy Ocean', 'Bob Dylan', 'Glenn Frey', 'Bruce Hornsby & the Range', 'Smash Mouth', 'Bruno Mars', 'Al Green']",2.163955656882057,who sang it just the way it is?,-0.367111474275589,False,1.0931464583426274,1,incorrect_low
train::10004,['1894'],1870,0.0,"['1870', '1870', 'In 1870 she moved to Missouri', 'In 1870, when Laura was 3', '1870', '1877', '1870', '1870', '1874', '1876']",1.2275294114572126,when did laura ingalls wilder move to missouri?,-0.0532528795301914,False,1.0931464583426274,1,incorrect_low
train::10006,['100'],100,1.0,"['100', '100', '100', '100', '100', 'there are 100 statues on Crosby Beach', 'Four (two pairs)', '100', '100', '100']",0.3250829733914482,how many statues are there on crosby beach?,-0.0572595633566379,True,1.0931464583426274,0,correct_high
train::10007,"['Swindon, England']","Swindon, England",1.0,"['Swindon, U.K.', 'Swindon, England', 'Swindon, United Kingdom', 'Swindon, England', 'Swindon, England', 'Swindon, UK', 'Swindon, England', 'swindon, england', 'Swindon, UK, and Alliston, Ontario, Canada', 'at the Swindon plant of Honda in the United Kingdom']",0.639031859650177,where is the 2018 civic type r made?,-0.0384298004209995,True,1.0931464583426274,0,correct_high
train::10009,"['Scarecrow', 'Tin Woodman', 'Cowardly Lion']","the scarecrow, the tin man, and the cowardly",0.0,"['Scarecrow, the Tin Man, and the Cowardly', 'the scarecrow, the tin man, the cowardly lion', 'the scarecrow, the tin man and the cowardly lion', 'the scarecrow, the tin man, and the cowardly', 'The Scarecrow, the Tin Woodman, and the Cow', 'scarecrow, tin man, lion', 'glinda, the lion, and the scarecrow', 'the scarecrow, the tin man, and the cowardly', 'the Tin Man, the Cowardly Lion, and the Scare', 'The Scarecrow, The Tin Man, The Cowardly']",1.4184836619456564,dorothy and toto's three travelling companions to oz?,-0.036143098026514,True,1.0931464583426274,1,correct_low
train::1001,['Eva Dugan'],Belle Starr,0.0,"['Minnie Pearl Smith', 'Johanna Johnston', ""Ike Clanton's wife, Belle Starr"", ""Billy the Kid's girlfriend, Cattle Kate Folsom"", 'Alice Mitchell', 'Johanna ""John"" Schwartz', 'Anna Leonard', 'Daisy Lee, executed in Tombstone, Arizona in 1', 'Billy the Kid\'s girlfriend, the woman known as ""Cattle Kate', 'Belle Starr']",2.302585092994045,first woman to be hung in arizona territory?,-0.5612664818763733,False,1.0931464583426274,1,incorrect_low
train::10010,['24th'],24th,1.0,"['24th.', '24', '24th position', '24th', '24th', '24th place', '24th place', '16th position', 'came in 24th', 'Last (26th position)']",0.639031859650177,where did great britian come in eurovision 2018?,-0.072149358689785,True,1.0931464583426274,0,correct_high
train::10015,['erogenous zone'],erogenous zones,1.0,"['erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zokes', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones']",-0.0,areas of the body that seem to be more sexually responsive to stimulation are called?,-0.0120993256568908,True,1.0931464583426274,0,correct_high
