Unnamed: 0,id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
0,train::577,['500'],$350,0.0,"['350', '$350', '300', '$500', '350', '$350', '400', '$500', 'Rachel should spend $350', '$400']",0.9,Rachel and Sara want to attend a beauty and modeling contest. They both want to buy new pairs of shoes and dresses. Sara buys a pair of shoes which costs $50 and a dress which costs $200. How much should Rachel budget if she wants to spend twice as much as what Sara spent on the pair of shoes and dress?,-0.2373188287019729,False,0.09090909090909091,incorrect_low
1,validation::547,['70'],120,0.0,"['160', '130', '140 minutes', '180 minutes', '180', '70 minutes (considering the car takes 5 minutes less', '160', '110 minutes', '3 hours', '120']",2.03,"Amanda's car takes five fewer minutes to complete the same trip to the beach than the bus. If the bus takes 40 minutes to drive 80 miles to the beach, how many minutes will it take the car to make a round trip?",-0.9055606722831726,False,0.03636363636363636,incorrect_low
2,train::1475,['6'],15,0.0,"['15', '15', '16', '15', '15', '15', '15', '15', '15', '10']",0.33,"A school principal is booking hotel rooms for a class of 30 students to stay at during an overnight field trip.  Each of the hotel's rooms has two queen size beds, which can fit two students each, and a pull-out couch, which can fit one student.  How many rooms does the principal need to book to fit all of the students in the class?",-0.0122771505266428,False,0.6545454545454545,incorrect_high
3,train::1585,['14'],10,0.0,"['8', '2', '10', '14', '5', '9', '7', '2', '19', '8 (25 total pens - 8 for friends)']",1.89,"Kendra has 4 packs of pens. Tony has 2 packs of pens. There are 3 pens in each pack. If Kendra and Tony decide to keep two pens each and give the remaining pens to their friends one pen per friend, how many friends will they give pens to?",-0.4332655370235443,False,0.03636363636363636,incorrect_low
4,train::1750,['5'],5,1.0,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",-0.0,Mark is looking to buy a total of 12 pieces of fruit at the store. He has already chosen 3 apples. He has also selected a bunch of bananas containing 4 bananas. How many oranges does he need to pick out to have 12 total pieces of fruit?,-0.0083057703450322,True,1.0,correct_high
5,train::1180,['32'],$18.75,0.0,"['$34', 'Amanda saves $4 \\boxed{5}$', '$18.75', '$30', '$32', '$11.50', '$14.50', '$17.25', '$58.50', '28']",2.3,"Lighters cost $1.75 each at the gas station, or $5.00 per pack of twelve on Amazon. How much would Amanda save by buying 24 lighters online instead of at the gas station?",-0.0470141395926475,False,0.01818181818181818,incorrect_low
6,train::1092,['340'],350,0.0,"['270', '$300', '370', '480', '350', '342.5', '402', '389', '$40', '350']",1.61,"Paul earns $12.50 for each hour that he works. He then has to pay 20% for taxes and fees. After working 40 hours, Paul receives his paycheck. If he spends 15% of his paycheck on gummy bears, how much, in dollars, does he have left?",-0.5852577686309814,False,0.05454545454545454,incorrect_low
7,train::1896,['2'],200,0.0,"['400', '200', '400', '166.67', '100 (ignoring cents)', '525', '500', '333.33', '40', '400']",1.97,"The cost of Joe's new HVAC system is $20,000.  It includes 2 conditioning zones, each with 5 vents.  In dollars, what is the cost of the system per vent?",-0.914366602897644,False,0.07272727272727272,incorrect_low
8,train::725,['25'],100,0.0,"['40', '10 if the brochure contains only single or double page spread', '60', '90', '48', '15', '50', '200 brochures', '24', '40']",2.16,"A printing press is printing brochures. The press prints 20 single-page spreads, and twice as many double-page spreads. For each 4 pages printed for the spreads, the press prints a block of 4 ads, each of which take up a quarter of a page. The brochures can be arranged in any order as long as they are made up of 5 pages each. How many brochures is the printing press creating?",-1.7283971309661863,False,0.01818181818181818,incorrect_low
9,train::1261,['660'],1000,0.0,"['$1200', '1000 since he paid for 1 appointment and the insurance', 'Total cost= $1200', '1100', '$1200', '1200', '$1100.', '1000', '1100', '$1120']",1.19,"John adopts a dog from a shelter.  The dog ends up having health problems and this requires 3 vet appointments,  which cost $400 each.  After the first appointment, John paid $100 for pet insurance that covers 80% of the subsequent visits.  How much did he pay in total?",-2.1944642066955566,False,0.05454545454545454,incorrect_low
10,train::1506,['28'],15000 gallons,0.0,"['13800', '3600', '2700 gallons', '20000 gallons', '27600', '14400', '8000 gallons', '12000', '10560', '17200']",2.3,"This morning, farmer Rita's workers collected 30,000 gallons of milk and chilled it in a storage tank. They then spent the next 4 hours pumping milk at a rate of 2,880 gallons/hour from the storage tank into a milk tanker. For the next 7 hours, the workers added more milk into the storage tank, at a rate of 1,500 gallons per hour. How many gallons of milk were left in the storage tank?",-0.7797866463661194,False,0.0,incorrect_low
11,train::552,['90'],$35,0.0,"['$30', '$30', '$40', '40', '$30', '$35', '$45', '30', '$35', '30']",1.22,"Penn operates an ice cream stall for a week. On the first day, she made $10. Every day after that, she made $4 more than the previous day. How much money did Penn make after 5 days?",-0.9099143743515016,False,0.12727272727272726,incorrect_low
12,validation::642,['9'],18,0.0,"['18', '$14', '$21', '$14', '$14', '14', '$18', '14', '$18', '12']",1.17,"Each chocolate bar in a box cost $3. If a box had 7 bars total and Olivia sold all but 4 bars, how much money would she have made?",-0.029654137790203,False,0.10909090909090909,incorrect_low
13,train::995,['7'],-3,0.0,"['-9', '-13', '-3', '-3', '-3', '-3', '-13', '-7', '-3', '-13']",1.17,Carol was playing a trivia game. In the first round she scored 17 points and in the second round she scored 6 points. In the last round she lost 16 points. How many points did she have at the end of the game?,-1.4149832725524902,False,0.32727272727272727,incorrect_low
14,train::1825,['90'],30 minutes,0.0,"['60 minutes', '30 minutes', '30 minutes.', '30 minutes', 'An hour (or 60 minutes)', '40 minutes', '30 minutes', '50 minutes', '30', '30']",1.23,"Eric decides to go to the park. He runs for 20 minutes, then jogs for 10 minutes to reach the park. When he returns, he takes a different route home and this takes him 3 times as long as his trip there. How long does it take Eric to return home?",-0.212050050497055,False,0.12727272727272726,incorrect_low
15,validation::589,['784'],9,0.0,"['9', '9', '11', 'Rachel cannot determine that using this information.', '9', '6195/85', '9', '84', '97', '9']",1.36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 45 visitors came to the Buckingham palace on the previous day. If 829 people visited the Buckingham palace within the past 85 days.How many visitors visited the Buckingham palace on that day?",-1.5793941020965576,False,0.2727272727272727,incorrect_low
16,train::1558,['66'],16,0.0,"['48 (mph)', '20', '16', '16', '16 mph over the speed limit', '75 mph', '28', '16', '20 mph', '11']",1.61,"In Zeoland the fine for speeding is $16 for each mile per hour the driver is traveling over the posted speed limit. In Zeoland, Jed was fined $256 for speeding on a road with a posted speed limit of 50 mph. Jed was fined for traveling at what speed in miles per hour?",-0.2149187177419662,False,0.10909090909090909,incorrect_low
17,train::186,['1100'],$1200,0.0,"['220 more per month', '-420', '540', '300', '160 (loss)', '475/month as a freelancer', '160', 'She would make $60/hour * 40 hours/week', '$450', '850']",2.03,"Janet is trying to decide whether to quit her job and start freelancing. She works 40 hours a week at both jobs. She get paid $30/hour at her current job, and would get paid $40/hour as a freelancer. However, she'd have to pay an extra $25 a week in FICA taxes plus $400/month in healthcare premiums. How much more would Janet make per month as a freelancer if there are four weeks in a month?",-0.3641824424266815,False,0.0,incorrect_low
18,validation::464,['4'],10,0.0,"['12', '44', '4', '12 (They have already ran 6 laps)', '16', '16', '2', '14', '4', '20']",1.7,"Madison and Gigi have to run a total of 2400 meters in gym class. The track is 150 meters around. If they each have run 6 laps, how many more laps do they have to run before they reach 2400 meters?",-0.7022882103919983,False,0.03636363636363636,incorrect_low
19,train::16,['14'],91,0.0,"['91', '91', '91', '81', '91', '91', '91', '91', '91', '91.']",0.33,Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work..How much money do they have together now?,-0.0087282108142972,False,0.6545454545454545,incorrect_high
20,train::979,['1542'],1042,0.0,"['1340 (14 more boys can be added to', '1042', '842', '1142', '1342', '1282', '842', '1142', '942', '842']",1.83,In a school there are 700 girls and the rest are boys. If there are 142 more boys than girls.How many pupils are there in that school?,-2.5013768672943115,False,0.09090909090909091,incorrect_low
21,train::556,['12'],11,0.0,"['11', '7', '6', '7', '7', '4', '21', '21', '21', '11']",1.5,"During a staff meeting, 50 doughnuts were served. If each of the 19 staff ate 2 doughnuts, how many doughnuts are left?",-0.0303711500018835,False,0.16363636363636364,incorrect_low
22,train::809,['30'],21,0.0,"['21', '21', '21', '21', '21', '21', '18', '21', '30', '21']",0.64,"While playing a trivia game, George answered 6 questions correct in the first half and 4 questions correct in the second half. If each question was worth 3 points, what was his final score?",-0.0045706327073276,False,0.6545454545454545,incorrect_high
23,train::1260,['17'],27,0.0,"['27 ounces', '19', '27', '32 ounces', '33 ounces', '51 ounces', '63', '29', '49', '41']",2.16,"An artist uses 3 ounces of paint for every large canvas they cover, and 2 ounces of paint for every small canvas they cover.  They have completed 3 large paintings and 4 small paintings.  How many ounces of paint have they used?",-0.013617830350995,False,0.01818181818181818,incorrect_low
24,validation::273,['9'],15,0.0,"['12', '11', '13', '15', '25', '20', '36', '25', '56', '14']",2.16,"If there are 8 slices in a large pizza, how many slices will remain if Mary orders 2 large pizzas and eats 7 slices?",-0.7699019908905029,False,0.03636363636363636,incorrect_low
25,train::1520,['33'],33,1.0,"['33', '33', '33', '33', '33', '33', '33', '33', '33', '33']",-0.0,A book has 2 chapters. The first chapter is 60 pages long. If there are a total of 93 pages in the book.How many pages are in the second chapter?,-0.1121318340301513,True,1.0,correct_high
26,train::998,['4'],2,0.0,"['7/12 of the pizza remains', '2', '4', '4', '4', '3', '6', '3', ""6/12 = 1 slice. So she doesn't"", '3']",1.64,Donna cut her pizza into 12 slices and ate half for lunch.  She ate 1/3 of the remaining pizza for dinner.  How many slices are left for Donna's lunch tomorrow?,-0.8956114053726196,False,0.12727272727272726,incorrect_low
27,train::1307,['11'],9,0.0,"['9', '9', '9', '9', '8', '9', '9', '9', '9', '11']",0.64,Rachel picked 7 apples from her tree. Thereafter 2 new apples grew on the tree. Now the tree has 6 apples still on it..How many apples did the tree have to begin with?,-0.1048468425869941,False,0.6545454545454545,incorrect_high
28,validation::325,['5'],10,0.0,"['109 yards', '970', '570', '370 yards left', '10', '30', '140', '770', '220 yards', '30']",1.7,"Dikembe wants to teach everyone at school about the importance of flossing, so he plans to bring enough packets of floss for everyone. There are 20 students in his class. Each student needs 1.5 yards of floss. He sees in the store that each packet of floss contains 35 yards. If he buys the least amount necessary, how much floss is left over?",-0.5902624726295471,False,0.03636363636363636,incorrect_low
29,train::1870,['60'],15,0.0,"['20', '15', '20', '10', '15', '10', '45', '36', '8', '15']",1.7,"There are one-third as many Ford trucks as Dodge trucks in the parking lot of the Taco Castle.  But there are twice as many Ford trucks as Toyota trucks in this parking lot, and there are half as many Volkswagen Bugs as there are Toyota trucks in this same parking lot.  If there are 5 Volkswagon Bugs in the parking lot, how many Dodge trucks are in the parking lot of the Taco Castle?",-0.4358361065387726,False,0.14545454545454545,incorrect_low
30,train::1810,['4'],4,1.0,"['4', '4', '4', '3', '6', '4', '3', '3', '2', '2']",1.28,"John with his five friends ordered 3 pizzas. Each pizza had 8 slices. If they all finished and ate the same amount of pizzas, how many slices did each person eat?",-0.0770520269870758,True,0.2545454545454545,correct_low
31,validation::2,['240'],102,0.0,"['89', '108 years', '72', '87', '87', '108', '120', '108', ""90 years (Aaron is 15 Henry's"", '87']",1.5,"Aaron, Henry's brother, is 15 years old. Henry's sister is three times as old as Aaron. Henry is four times as old as his sister. What's the combined age of the siblings?",-2.3646419048309326,False,0.07272727272727272,incorrect_low
32,train::271,['2'],2,1.0,"['2', '8', '8', '2', '2', '2', '8', '2', '2', '2']",0.61,Jack received 6 emails in the morning and 8 emails in the afternoon..How many more emails did Jack receive in the afternoon than in the morning?,-0.0144396126270294,True,0.5636363636363636,correct_high
33,validation::471,['448000'],1200000,0.0,"['2000000', '43333333333', '$87500', '$175000', '260000', '180000', '450000', '10 million', '420000', '375000']",1.83,James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,-1.648586630821228,False,0.0,incorrect_low
34,train::1350,['216'],104,0.0,"['$72', '$72', '154 dollars', '94', '128', '112', '$72', '108', '$92', '88 dollars']",1.97,"Tickets to the school play cost $6 for students and $8 for adults. If 20 students and 12 adults bought tickets, how many dollars' worth of tickets were sold?",-0.3641667068004608,False,0.05454545454545454,incorrect_low
35,validation::132,['32'],32,1.0,"['32', '32', '32', '32', '32', '32', '32', '32', '32', '32']",-0.0,"There 95 colored lights on a Christmas tree. 26 of them are red, 37 of them are yellow and the rest are blue..How many blue lights are there on the Christmas tree?",-0.0059001091867685,True,1.0,correct_high
36,train::649,['30'],24,0.0,"['9', '15', '22', '20', '16', '12', '24', '28', '36', '6']",2.3,"In a block of flats, there are 120 apartments. 85% of them have at least 1 resident, while 60% of the apartments have at least two residents. How many apartments have only one resident?",-0.7644585967063904,False,0.01818181818181818,incorrect_low
37,train::931,['10'],10,1.0,"['10', '10', '10', '10', '10', '10', '10', '10', '10', '10']",-0.0,"After a typhoon, 2 trees in Haley's backyard died. If she had grown 12 trees initially.How many trees does she have left?",-0.0126205822452902,True,1.0,correct_high
