pair,n,dse_threshold,entropy_max,correct_high,correct_low,incorrect_high,incorrect_low,boundary,high_conf_frac,agreement_with_cmetric_category
gemma3_27b_answerable_math_combined_llm_verdict,2573,0.3279,2.164,1189,45,920,419,0,0.8197,0.8993
gemma3_27b_sciq_combined_full_llm_verdict,13584,0.0,1.8867,11317,951,959,357,0,0.9037,0.9174
gemma3_27b_triviaqa_combined_50K_llm_verdict,50000,0.3256,2.3026,39645,1470,6076,2809,0,0.9144,0.9177
gemma_answerable_math_combined_llm_verdict,2573,0.5117,2.3026,923,66,881,703,0,0.7011,0.9013
gemma_sciq_combined_full_llm_verdict,13584,0.3335,1.8344,10935,978,1136,535,0,0.8886,0.9142
gemma_triviaqa_combined_50K_llm_verdict,50000,0.5117,2.3026,34580,2021,7428,5971,0,0.8402,0.9327
llama_answerable_math_combined_llm_verdict,2573,0.9525,2.3,634,202,350,1387,0,0.3824,0.8939
llama_sciq_combined_llm_verdict,13565,0.697,2.3,8972,2825,562,1206,0,0.7028,0.7885
llama_triviaqa_combined_50K_llm_verdict,50000,0.8131,2.3,30884,7694,2044,9378,0,0.6586,0.8259
mistral_answerable_math_combined_llm_verdict,2573,1.0687,2.3,452,148,408,1565,0,0.3342,0.8578
mistral_sciq_combined_full_llm_verdict,13584,0.6978,2.3026,8031,3301,737,1515,0,0.6455,0.7957
mistral_triviaqa_combined_50K_llm_verdict,50000,0.814,2.3026,32629,5162,3714,8495,0,0.7269,0.8437
qwen3_14b_answerable_math_combined_llm_verdict,2573,0.5117,2.3026,1396,118,509,550,0,0.7404,0.9199
qwen3_14b_sciq_combined_full_llm_verdict,13584,0.3279,2.164,10111,2188,581,704,0,0.7871,0.8491
qwen3_14b_triviaqa_combined_50K_llm_verdict,50000,0.6978,2.3026,33302,2524,5875,8299,0,0.7835,0.8828
qwen_answerable_math_combined_llm_verdict,2573,0.3279,2.164,1117,105,743,608,0,0.7229,0.869
qwen_sciq_combined_full_llm_verdict,13584,0.3256,2.3026,9510,2374,755,945,0,0.7557,0.8557
qwen_triviaqa_combined_50K_llm_verdict,50000,0.6978,2.3026,30076,2638,7345,9941,0,0.7484,0.8896
