id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
train::0,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,"Mike made 69 dollars mowing lawns over the summer. If he spent 24 dollars buying new mower blades, how many 5 dollar games could he buy with the money he had left?",-0.0086328405886888,True,1.0,correct_high
train::1,['10'],13,0.0,"['13', '12', '12', '13', '13', '11', '12', '13', '13', '13']",-0.0,"Bill is a painter who is hired to paint a client’s house. The house has three bedrooms, and twice as many other rooms as bedrooms. The client wants each bedroom painted a different color, and the other rooms painted white. Each room takes 2 gallons of paint. Color paint comes in 1-gallon paint cans, and white paint comes in 3-gallon cans. How many cans of paint will Bill need for the whole house?",-1.70142924785614,False,0.43636363636363634,incorrect_low
train::10,['18'],24 inches,0.0,"['24 inches', '24 inches', '24 inches', '24 inches', '19 inches', '24 inches', '19 inches', '24 inches', '19 inches', '19 inches']",0.6730116670092565,Billy can spit a watermelon seed 30 inches.  Madison can spit a watermelon seed 20% farther than Billy.  Ryan can spit a watermelon seed 50% shorter than Madison.  How far can Ryan spit a watermelon seed?,-4.141043663024902,False,0.4909090909090909,incorrect_low
train::100,['80'],120,0.0,"['120', '120', '120', '120', '180', '120', '160', '120', '120', '120']",0.5004024235381879,"Abigail has a report due tomorrow which needs to be 1000 words in length. Abigail can type 300 words in half an hour. If she has already written 200 words, how many more minutes will it take her to finish the report?",-2.92988920211792,False,0.6545454545454545,incorrect_high
train::1000,['2500'],1000,0.0,"['1000', '1000', '1000', '1000', '500', '1000', '1000', '1000', '500', '1000']",0.5004024235381879,"Jonathan eats 2500 calories every day except for Saturday, when he consumes an extra 1000 calories.  He burns 3000 calories every day.  What is his weekly caloric deficit?",-0.5759446620941162,False,0.6727272727272727,incorrect_high
train::1001,['45'],$90,0.0,"['$9', '$90', '$90', '$90', '$90', '$9', '$18', '$90', '$90', '$90']",0.8018185525433372,There are 50 goldfish in the pond. Each goldfish eats 1.5 ounces of food per day. 20% of the goldfish need to eat special food that costs $3 an ounce. How much does it cost to feed these fish?,-0.4740814566612243,False,0.5272727272727272,incorrect_high
train::1002,['26'],26,1.0,"['26', '26', '26', '26', '26', '26', '26', '26', '26', '26']",-0.0,"A waiter at 'The Greasy Spoon' restaurant had 26 customers to wait on. During the lunch rush he added another 27 customers. If 27 of the customers didn't leave him a tip, how many customers did leave a tip?",-5.00675630569458,True,1.0,correct_high
train::1003,['17'],17,1.0,"['17', '17', '17', '17', '17', '17', '17', '17', '17', '17']",-0.0,There were 8 people on the bus. At the next stop 12 more people got on the bus and 3 people got off..How many people are there on the bus now?,-0.023356320336461,True,1.0,correct_high
train::1004,['60'],60,1.0,"['60', '60', '60', '60', '60', '60', '60', '60', '60', '60']",-0.0,Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars..How much money did Jason earn by delivering newspapers?,-0.0142155149951577,True,1.0,correct_high
train::1005,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,"A book has 8 chapters. Beth has read 2 chapters in 3 hours. If she continues reading at that rate, in how many hours will she be able to finish reading the remaining chapters?",-0.4740827679634094,True,1.0,correct_high
train::1007,['285'],260,0.0,"['248', '260', '228', '265', '218', '260', '236', '246', '243', '233']",0.3250829733914482,"At the gym, every day, there are 300 towels laid out for guest use.  Each guest is given 1 towel during their visit.  The gym is open from 10:00 a.m. to 2:00 p.m. In the first hour, 50 guests enter the gym.  In the second hour, 20% more guests enter than during the first hour.  In the third hour, 25% more guests enter than in the second hour.  In the fourth hour, one third more guests enter than in the third hour.  In total, how many towels do they need to wash that evening?",-1.8047633171081543,False,0.05454545454545454,incorrect_low
train::1008,['1'],1.5,0.0,"['1.5', '1.5', '1.5', '1.5', '1.5', '1.5', '1.  5', '1.5', '1.  5', '1.5']",-0.0,Jack has a grove with 4 trees by 5 trees.  It takes 6 minutes to clean each tree.  He gets help to clean the trees so it only takes half as long.  How many hours did he spend cleaning trees?,-0.8981306552886963,False,0.6727272727272727,incorrect_high
train::101,['134'],149,0.0,"['141.6', '148', '149', '147.6', '134', '142', '148', '156', '149', '148.6']",0.6931471805599453,Ajax is 80 kilograms. He is planning to lose some weight. Exercising for an hour will help him lose 1.5 pounds. If 1 kilogram is equal to 2.2 pounds How many pounds will he weigh if he exercises for 2 hours every day for two weeks?,-4.018163204193115,False,0.07272727272727272,incorrect_low
train::1010,['1400'],1120,0.0,"['1120', '1120', '2240', '2240', '1120', '1120', '1120', '1120', '2240', '1120']",0.6108643020548935,Matt's protein powder is 80% protein.  He weighs 80 kg and wants to eat 2 grams of protein per kilogram of body weight each day.  How much protein powder does he need to eat per week?,-5.130940437316895,False,0.5636363636363636,incorrect_high
train::1011,['1172'],1436,0.0,"['1408', '1868 meters', '2800 meters', '1408', '1456', '2768 meters', '1456', '2864 meters', '1868 meters', '1408']",1.5571130980576458,"Nate went out to do his daily exercises. In 8 seconds, he ran a distance equal to four times the length of a football field. He rested for a while, then ran 500 more meters. If the field's length is 168 meters, how far did Nate ran?",-6.252158164978027,False,0.09090909090909091,incorrect_low
train::1012,['40'],22 hours,0.0,"['22 hours', '22 hours', '26 hours', '22 hours', '38', '22 hours', '38 hours', '26 hours', '38 hours', '38']",1.0549201679861442,Alexis can sew a skirt in 2 hours and a coat in 7 hours. How long does it take for Alexis to sew 6 skirts and 4 coats?,-4.634774684906006,False,0.23636363636363636,incorrect_low
train::1013,['60'],20 square feet,0.0,"['40 square feet', '20 square feet', '40 square feet', '40 square feet', '20 square feet', '20 square feet', '40 square feet', '40 square feet', '20 square feet', '20 square feet']",0.6931471805599453,Mark builds an apartment that is 16 by 10 feet.  There are 6 rooms in total.  All the rooms are the same size except the living room which is as big as 3 other rooms.  How big is the living room?,-6.626364707946777,False,0.45454545454545453,incorrect_low
