id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category,DSE_threshold,DSE_b_entropy,category_dse
train::0,['mesophilic organisms'],bacteria,0.0,"['bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria']",-0.0,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,-0.0300324894487857,True,1.0,correct_high,1e-10,0,correct_high
train::1,['coriolis effect'],Coriolis effect,1.0,"['Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect']",-0.0,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,-0.0432242751121521,True,1.0,correct_high,1e-10,0,correct_high
train::10,['active metal'],reducing agent,0.0,"['reducing agent', 'active metal', 'reducing agent', 'reducing agent', 'reducing agent', 'active metal', 'active metal', 'active metal', 'reducing agent', 'active metal']",-0.0,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",-0.0702863112092018,True,0.4545454545454545,correct_low,1e-10,0,correct_high
train::100,['equilibrium'],equilibrium,1.0,"['equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium']",-0.0,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",-0.0299879517406225,True,1.0,correct_high,1e-10,0,correct_high
train::1000,['mechanical energy'],kinetic energy,1.0,"['kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy']",-0.0,What is the term for the energy of movement?,-0.0234217662364244,True,1.0,correct_high,1e-10,0,correct_high
train::10000,['nonliving environment'],nonliving factors,1.0,"['nonliving things', 'nonliving things', 'nonliving factors', 'nonliving factors', 'nonliving factors', 'nonliving factors', 'nonliving things', 'nonliving things', 'nonliving factors', 'nonliving factors']",-0.0,An ecosystem consists of all the living things and what?,-0.2523104548454284,True,0.4909090909090909,correct_low,1e-10,0,correct_high
train::10001,['photosynthesis'],photosynthesis,1.0,"['photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis']",-0.0,Mesophyll consists mainly of parenchyma cells specialized for what?,-0.0339408069849014,True,1.0,correct_high,1e-10,0,correct_high
train::10002,['bacterial'],bacterial,1.0,"['bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial']",-0.0,Antibiotic drugs are usually effective in treating what kind of infections?,-0.0265059489756822,True,1.0,correct_high,1e-10,0,correct_high
train::10003,['true north'],true north,1.0,"['true north', 'true north', 'true north', 'true north', 'True North', 'true north', 'true north', 'true north', 'true north', 'true north']",-0.0,What is earth’s geographic north pole also called?,-0.0623981170356273,True,1.0,correct_high,1e-10,0,correct_high
train::10004,['abiotic factors'],abiotic factors,1.0,"['abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors']",-0.0,What are the nonliving aspects of the environment called?,-0.0621586367487907,True,1.0,correct_high,1e-10,0,correct_high
train::10005,['thermodynamics'],conservation of mass,0.0,"['conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass', 'conservation of mass']",-0.0,Chemical reactions follow the laws of what?,-0.1004430502653122,True,1.0,correct_high,1e-10,0,correct_high
train::10006,['solution'],solution,1.0,"['solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution']",-0.0,What do you call a mixture of two or more substances in which dissolved particles are distributed evenly throughout?,-0.030067540705204,True,1.0,correct_high,1e-10,0,correct_high
train::10007,['precipitation'],precipitation,1.0,"['precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation']",-0.0,What is the water that falls from the sky called?,-0.030056320130825,True,1.0,correct_high,1e-10,0,correct_high
train::10008,['veins'],veins,1.0,"['veins', 'veins', 'veins', 'veins', 'veins', 'veins', 'veins', 'veins', 'veins', 'veins']",-0.0,What returns blood from capillaries to an atrium?,-0.0702088624238967,True,1.0,correct_high,1e-10,0,correct_high
