id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::100,['6'],0.,0.0,"['0.', '0.', '1.', '1.', '0.', '5.', '4.', '2.', '2.', '0.']",1.4708084763221112,How many stripes in total?,,False,0.8140452349615311,1,incorrect_low
train::105,['3'],3.,1.0,"['3.', '3.', '3.', '3.', '3.', '3.', '3.', '2.', '3.', '3.']",0.3250829733914482,how many lights are there?,,True,0.8140452349615311,0,correct_high
train::107,['lightning'],Lightning bolt.,1.0,"['Lightning bolt.', 'Snowflake.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.', 'Lightning bolt.']",0.3250829733914482,What weather symbol is on the black part of the ski?,,True,0.8140452349615311,0,correct_high
train::108,['4'],3.,0.0,"['3.', '3.', '4.', '4.', '3.', '4.', '4.', '3.', '3.', '4.']",0.6931471805599453,How many people in this photo are wearing sunglasses?,,False,0.8140452349615311,0,incorrect_high
train::109,['4'],4.,1.0,"['5.', '6.', '5.', '4.', '0.', '4.', '6.', '4.', '4.', '4.']",1.2206072645530173,How many coffee cups are there?,,True,0.8140452349615311,1,correct_low
train::113,['england'],England.,1.0,"['England.', 'England.', 'England.', 'England.', 'England.', 'England.', 'England.', 'England.', 'England.', 'England.']",-0.0,What country is on the bear's shirt?,,True,0.8140452349615311,0,correct_high
train::114,['2'],3.,0.0,"['4.', '2.', '4.', '4.', '3.', '4.', '3.', '3.', '4.', '3.']",0.9433483923290392,how many pieces of meat?,,False,0.8140452349615311,1,incorrect_low
train::117,['flowers'],Flowers.,1.0,"['Daisies.', 'Flowers.', 'Flowers.', 'Flowers.', 'Daisies.', 'Flowers.', 'Flowers.', 'Flowers.', 'Flowers.', 'Flowers.']",0.5004024235381879,what is on the blanket?,,True,0.8140452349615311,0,correct_high
train::119,['12:13'],12:05.,0.0,"['3:00.', '10:05.', '1:53.', '11:35.', '11:28.', '12:30.', '11:32.', '11:23.', '11:53.', '3:24.']",2.302585092994045,What is the exact time?,,False,0.8140452349615311,1,incorrect_low
train::121,['6200'],1820.,0.0,"['320.', '1520.', '020.', '820.', '4920.', '20.', '320.', '820.', '1520.', '520.']",1.7480673485460894,what number is on the bottom left of the bus?,,False,0.8140452349615311,1,incorrect_low
