id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category,DSE_threshold,DSE_b_entropy,category_dse
train::0,['mesophilic organisms'],bacteria,0.0,"['bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'lactic acid bacteria', 'bacteria', 'bacteria', 'Yeast', 'microorganism']",0.9404479886553264,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,-0.020987220108509,True,0.509090909090909,correct_high,0.697753058552741,1,correct_low
train::1,['coriolis effect'],coriolis effect,1.0,"['coriolis effect', 'coriolis effect', 'Coriolis Effect', ""earth's rotation"", 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'coriolis effect', 'coriolis effect', 'coriolis effect']",0.3250829733914482,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,-0.015691265463829,True,0.8181818181818182,correct_high,0.697753058552741,0,correct_high
train::10,['active metal'],active metal,1.0,"['reducing agent', 'oxidizing agent', 'reactive', 'reducing agent', 'active metal', 'reducible', 'powerful oxidizing agent', 'oxidizing agent', 'reducing agent', 'active metal']",0.3250829733914482,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",-0.5046459436416626,True,0.1272727272727272,correct_low,0.697753058552741,0,correct_high
train::100,['equilibrium'],equilibrium,1.0,"['equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium']",-0.0,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",-0.0166472382843494,True,1.0,correct_high,0.697753058552741,0,correct_high
train::1000,['mechanical energy'],kinetic energy,1.0,"['kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy']",-0.0,What is the term for the energy of movement?,-0.0067389127798378,True,1.0,correct_high,0.697753058552741,0,correct_high
train::10000,['nonliving environment'],nonliving things,1.0,"['their physical environment', 'nonliving things that occur in a specific area', 'non living things', 'nonliving things in a particular area interacting with each other', 'nonliving things that are part of that system', 'nonliving things', 'nonliving things', 'non living things', 'nonliving things', 'non living things in a given area']",1.3592367006650063,An ecosystem consists of all the living things and what?,-0.3174977600574493,True,0.1272727272727272,correct_low,0.697753058552741,1,correct_low
train::10001,['photosynthesis'],photosynthesis,1.0,"['transportation of carbon dioxide and water', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'gas exchange', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'gas exchange', 'gas exchange']",0.8979457248567798,Mesophyll consists mainly of parenchyma cells specialized for what?,-0.0107686351984739,True,0.4363636363636363,correct_low,0.697753058552741,1,correct_low
train::10002,['bacterial'],bacterial,1.0,"['bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial', 'bacterial infections', 'bacterial infections', 'bacterial infections', 'bacterial', 'bacterial infections']",-0.0,Antibiotic drugs are usually effective in treating what kind of infections?,-0.0126590738072991,True,0.4909090909090909,correct_low,0.697753058552741,0,correct_high
train::10003,['true north'],north magnetic pole,0.0,"['north magnetic pole', 'axial north', 'north magnetic pole', 'the north pole', 'point of rotation', 'axial pole', 'north magnetic pole', 'north magnetic pole', 'north magnetic pole', 'axial north']",0.9433483923290392,What is earth’s geographic north pole also called?,-0.4551644921302795,False,0.2909090909090909,incorrect_low,0.697753058552741,1,incorrect_low
train::10004,['abiotic factors'],abiotic,1.0,"['abiotic', 'abiotic factors', 'abiotic', 'abiotic', 'abiotic factors', 'abiotic', 'abiotic', 'abiotic', 'abiotic', 'abiotic components']",0.6108643020548935,What are the nonliving aspects of the environment called?,-0.0118059031665325,True,0.5272727272727272,correct_high,0.697753058552741,0,correct_high
