id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::0,['backpack'],Backpack.,1.0,"['Backpack.', 'Backpack.', 'Bag.', 'Backpack.', 'Bag.', 'Backpack.', 'Backpack.', 'Backpack.', 'Backpack.', 'Backpack.']",0.5004024235381879,What kind of container might someone carry these things in?,,True,0.697753058552741,0,correct_high
train::1,['fine'],Fine.,1.0,"['Will perish.', 'Death.', 'Will pay a fine.', 'Ticket.', 'Ticket.', 'Fine.', 'Ticket.', 'Ticket.', 'Fine.', 'Ticket.']",1.2206072645530175,What is the penalty for not obeying the law on the sign?,,True,0.697753058552741,1,correct_low
train::10,['pedestrian'],Pedestrians.,0.0,"['Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'People.']",0.3250829733914482,Who has the right of way here?,,True,0.697753058552741,0,correct_high
train::100,['kitchen'],Kitchen.,1.0,"['Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.', 'Kitchen.']",-0.0,Which room is this?,,True,0.697753058552741,0,correct_high
train::101,['100 mph'],Fast.,0.0,"['Very fast.', 'Fast.', 'Fast.', 'Fast.', 'Fast.', 'Fast.', 'Fast.', 'Fast.', 'Fast.', '120 mph.']",0.3250829733914482,How fast can this bike go?,,False,0.697753058552741,0,incorrect_high
train::102,['read'],Reading.,0.0,"['Reading.', 'Reading.', 'Reading.', 'Reading.', 'Reading.', 'Reading.', 'Reading.', 'Keeping score.', 'Reading.', 'Reading.']",0.3250829733914482,What are the items to the right used for?,,True,0.697753058552741,0,correct_high
train::103,['violet'],Lilacs.,0.0,"['Mums.', 'Roses.', 'Lilacs.', 'Lilacs.', 'Purple.', 'Roses.', 'Lilacs.', 'Lilacs.', 'Violas.', 'Roses.']",1.4184836619456564,What type of flowers are in the pot?,,False,0.697753058552741,1,incorrect_low
train::104,['redwood'],Oak.,0.0,"['Oak.', 'Maple.', 'Oak.', 'Oak.', 'Oak.', 'Oak.', 'Oak.', 'Pine.', 'Oak.', 'Oak.']",0.639031859650177,Wich kind of trees are shown in this photo?,,False,0.697753058552741,0,incorrect_high
train::105,['casually'],Casually.,1.0,"['Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.']",-0.0,Are these people formally or casually dressed?,,True,0.697753058552741,0,correct_high
train::106,['steamed'],Steamed.,1.0,"['Steamed.', 'Steamed.', 'Steamed.', 'Steamed.', 'Steamed.', 'Steamed.', 'Steamed.', 'Steamed.', 'Steamed.', 'Steamed.']",-0.0,Is the broccoli on the plate steamed or baked?,,True,0.697753058552741,0,correct_high
train::107,['giraffe and ostrich'],Giraffe and ostrich.,1.0,"['Giraffe and ostrich.', 'Giraffe and ostrich.', 'Ostrich and giraffe.', 'Ostrich and giraffe.', 'Giraffe and ostrich.', 'Ostrich and giraffe.', 'Giraffe and bird.', 'Ostrich and giraffe.', 'Ostrich and giraffe.', 'Ostrich and giraffe.']",0.3250829733914482,What two animals are pictured?,,True,0.697753058552741,0,correct_high
train::108,['electric'],Electric.,1.0,"['Electric.', 'Electric.', 'Electric.', 'Electric.', 'Electric.', 'Electric.', 'Electric.', 'Electric.', 'Electric.', 'Electric.']",-0.0,What type of burners are on the stove?,,True,0.697753058552741,0,correct_high
train::109,['belt'],Belt.,1.0,"['Belt.', 'Belt.', 'Belt.', 'Belt.', 'Belt.', 'Belt.', 'Belt.', 'Belt.', 'Belt.', 'Belt.']",-0.0,What is holding this man's pants up?,,True,0.697753058552741,0,correct_high
train::11,['chip'],Easy rider.,0.0,"['Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.', 'Easy rider.']",-0.0,What movie focuses around two of these vehicles?,,False,0.697753058552741,0,incorrect_high
train::110,['carrot'],Carrot.,1.0,"['Carrots.', 'Carrot.', 'Carrot.', 'Carrot.', 'Carrot.', 'Carrot.', 'Carrot.', 'Carrot.', 'Carrot.', 'Carrot.']",-0.0,This cake contains what vegatable?,,True,0.697753058552741,0,correct_high
train::111,['peru'],You can find this road in a jungle.,0.0,"['Africa.', 'You can find this road in a valley or gorge surrounded by forest.', 'Mountain.', 'On the mountain side.', 'You can find this road in Nepal.', 'You can find this road on a mountain.', 'Brazil.', 'Mountainside.', 'You can find this dirt road in South America.', 'You can find this road in a jungle.']",1.7480673485460891,Where can i find this road?,,False,0.697753058552741,1,incorrect_low
train::112,['volkswagen'],Volkswagen.,1.0,"['Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.', 'Volkswagen.']",-0.0,Who makes these trucks?,,True,0.697753058552741,0,correct_high
train::113,['dubai'],New york.,0.0,"['New york.', 'United states.', 'New york.', 'City.', 'New york.', 'City.', 'New york.', 'New york.', 'New york.', 'New york.']",0.8018185525433373,Where in the world are these buildings?,,False,0.697753058552741,1,incorrect_low
train::114,['ufo'],Ufo.,1.0,"['Ufo.', 'Ufo.', 'Ufo.', 'Ufo.', 'Ufo.', 'Ufo.', 'Ufo.', 'Ufo.', 'Ufo.', 'Ufo.']",-0.0,What three letters are used to identify hotly debated flying objects that could look like this white disc?,,True,0.697753058552741,0,correct_high
train::115,['skate park'],Skate park.,1.0,"['Skate park.', 'Skate park.', 'Skate park.', 'Skate park.', 'Skate park.', 'Skate park.', 'Skate park.', 'Skate park.', 'Skate park.', 'Skate park.']",-0.0,What kind of recreational facility is this?,,True,0.697753058552741,0,correct_high
train::116,['big ben'],Big ben.,1.0,"['Big ben.', 'Big ben.', 'Big ben.', 'Big ben.', 'Big ben.', 'Big ben.', 'Big ben.', 'Big ben.', 'Big ben.', 'Big ben.']",-0.0,What landmark is in the background?,,True,0.697753058552741,0,correct_high
train::117,['rug'],Rug.,1.0,"['Rug.', 'Rug.', 'Rug.', 'Rug.', 'Rug.', 'Rug.', 'Rug.', 'Rug.', 'Area rug.', 'Rug.']",0.3250829733914482,What is the piece of decorative fabric called that the cat is sitting on?,,True,0.697753058552741,0,correct_high
train::118,['3:00'],12:05.,0.0,"['12:00.', '4:20.', '12:40.', '12:15.', '5:30.', '11:20.', '12:30.', '11:55.', '7:50.', '6:55.']",2.302585092994045,What is the time displayed?,,False,0.697753058552741,1,incorrect_low
train::119,['their teeth'],Teeth.,1.0,"['Teeth.', 'Teeth.', 'Teeth.', 'Teeth.', 'Teeth.', 'Teeth.', 'Teeth.', 'Teeth.', 'Teeth.', 'Teeth.']",-0.0,What are these kids protecting?,,True,0.697753058552741,0,correct_high
train::12,['kitten'],Kitten.,1.0,"['Kitten.', 'Kitten.', 'Kitten.', 'Kitten.', 'Kitten.', 'Kitten.', 'Kitten.', 'Kitten.', 'Kitten.', 'Kitten.']",-0.0,What do you call a baby version of this animal?,,True,0.697753058552741,0,correct_high
train::120,['congested'],Stuffy.,0.0,"['Stuffy.', 'Sinuses.', 'Stuffy.', 'stuffed up.', 'Clogged.', 'No nose.', 'Stuffy.', 'Nosey.', 'Stuffy.', 'Snot.']",0.9404479886553264,What does a person with a bad head cold have in common with this view?,,True,0.697753058552741,1,correct_low
train::121,['sofa'],Purple.,0.0,"['Purple.', 'Velvet.', 'Furniture.', 'Sectional.', 'Purple.', 'Sofa.', 'Purple.', 'Purple.', 'Purple.', 'Love seat.']",1.4978661367769952,What kind of couch is that?,,False,0.697753058552741,1,incorrect_low
train::122,['dairy'],Bull.,0.0,"['Beef.', 'Dairy.', 'Not sure.', 'Bull.', 'Hereford.', 'Hereford.', 'Jersey.', 'Brahman.', 'Holstein.', 'Holstein.']",2.025326220770068,What breed of cows are these?,,False,0.697753058552741,1,incorrect_low
train::123,['salad'],Salad.,1.0,"['Salad.', 'Salad.', 'Salad.', 'Salad.', 'Salad.', 'Salad.', 'Salad.', 'Salad.', 'Garlic bread.', 'Salad.']",0.3250829733914482,What would be a good side for this food?,,True,0.697753058552741,0,correct_high
train::124,['cat'],Cats.,0.0,"['Cats.', 'Cats.', 'No.', 'Yes.', 'Cats', 'Cats.', 'Cats.', 'Cats.', 'Cats.', 'Cats.']",0.639031859650177,Batman's main female villain surround herself with these?,,True,0.697753058552741,0,correct_high
train::125,['north america'],North america.,1.0,"['North america.', 'North america.', 'North america.', 'North america.', 'North america.', 'North america.', 'North america.', 'North america.', 'North america.', 'North america.']",-0.0,On which continents do these trees grow?,,True,0.697753058552741,0,correct_high
train::126,['cumulus'],Cumulus.,1.0,"['Cumulus.', 'Cumulus.', 'Cumulus.', 'Cumulus.', 'Cumulus.', 'Cumulus.', 'Cumulus.', 'Cumulus.', 'Stratus.', 'Rain clouds.']",0.639031859650177,What type of clouds are those?,,True,0.697753058552741,0,correct_high
train::127,['gothic'],Gothic.,1.0,"['Church.', 'Church.', 'Gothic.', 'Gothic.', 'Romanesque.', 'Church.', 'Gothic.', 'Gothic.', 'Gothic.', 'Gothic.']",0.8979457248567797,What style of architechture normally used these ornate arches and windows?,,True,0.697753058552741,1,correct_low
train::128,['friend'],Friend.,1.0,"['Boyfriend.', 'Friend.', 'Boyfriend.', 'Friend.', 'Friend.', '友達.', 'Friend.', 'Herself.', 'Boyfriend.', 'Boyfriend.']",0.9433483923290392,Who is she talking to?,,True,0.697753058552741,1,correct_low
train::129,['airbus'],Rbs.,0.0,"['RBS.', 'Rbu.', 'Rbx.', 'Rbs.', 'Rbt.', 'Rba.', 'Rbs.', 'Rba.', 'Rbs.', 'Rbs.']",1.3592367006650063,What airline does the plane belong to?,,False,0.697753058552741,1,incorrect_low
train::13,['special'],Special.,1.0,"['Normal.', 'Special.', 'Special.', 'Special.', 'Special.', 'Special.', 'Special.', 'Special.', 'Normal.', 'Special.']",0.5004024235381879,Was this a special or normal event?,,True,0.697753058552741,0,correct_high
train::130,['tiger'],Lion.,0.0,"['Tiger.', 'Lion.', 'Lion.', 'Lion.', 'Lion.', 'Lion.', 'Tiger.', 'Lion.', 'Tiger.', 'Tiger.']",0.6730116670092565,What is a wild animal that belongs to the same family as this animal?,,True,0.697753058552741,0,correct_high
train::131,['luggage'],Luggage.,1.0,"['Luggage and stroller.', 'Luggage.', 'Luggage.', 'Suitcase, stroller, and garage door.', 'Luggage.', 'Suitcases.', 'Suitcases.', 'Luggage.', 'Luggage on sidewalk.', 'Luggage.']",0.9404479886553264,What do you see?,,True,0.697753058552741,1,correct_low
train::132,['female'],Females.,0.0,"['Females.', 'Females.', 'Females.', 'Females.', 'Females.', 'Females.', 'Females.', 'Females.', 'Females.', 'Females.']",-0.0,Is this bicycle for males or females?,,True,0.697753058552741,0,correct_high
train::133,['open door'],Open door.,1.0,"['Door open/close.', 'Open door.', 'Open and close door.', 'Door open or close.', 'Open door.', 'Open door.', 'Open door.', 'Open door.', 'Open door.', 'Open door.']",0.6108643020548935,What do the buttons make happen?,,True,0.697753058552741,0,correct_high
train::134,['beach'],Beach.,1.0,"['Beach.', 'Beach.', 'Beach.', 'Beach.', 'Beach.', 'Beach.', 'Beach.', 'Beach.', 'Beach.', 'Beach.']",-0.0,Where is this person located?,,True,0.697753058552741,0,correct_high
train::135,['stripe'],Striped.,0.0,"['Striped.', 'Striped.', 'Stripes.', 'Stripes.', 'Stripes.', 'Stripes.', 'Striped.', 'Striped.', 'Striped.', 'Striped.']",-0.0,What pattern is the cover?,,True,0.697753058552741,0,correct_high
train::136,['egypt'],Egypt.,1.0,"['Middle east.', 'Egypt.', 'Egypt.', 'Egypt.', 'Egypt.', 'Egypt.', 'Middle east.', 'Egypt.', 'Egypt.', 'Egypt.']",0.5004024235381879,Where did this animal originate from?,,True,0.697753058552741,0,correct_high
train::137,['5'],6.,0.0,"['6.', '5.', '5.', '5.', '6.', '6.', '6.', '6.', '4.', '4.']",1.0296530140645737,How many different veggies are there?,,False,0.697753058552741,1,incorrect_low
train::138,['conductor'],Conductor.,1.0,"['Conductor.', 'Conductor.', 'Collector.', 'Conductor.', 'Conductor.', 'Conductor.', 'Conductor.', 'Conductor.', 'Conductor.', 'Collector.']",0.5004024235381879,Who collects tickets on this ride?,,True,0.697753058552741,0,correct_high
train::139,['laptop'],Laptops.,0.0,"['Laptops.', 'Laptops.', 'Laptops.', 'Laptops.', 'Laptops.', 'Laptops.', 'Laptops.', 'Laptops.', 'Laptops.', 'Laptops.']",-0.0,What types of computers?,,True,0.697753058552741,0,correct_high
train::14,['hound'],Beagle.,0.0,"['Retriever.', 'Mutt.', 'Rottweiler.', 'Collie.', 'Tri peace.', 'Terrier.', 'Rottweiler.', 'Schnauzer.', 'Beagle.', 'Mutt.']",2.025326220770068,What breed of dog is represented?,,True,0.697753058552741,1,correct_low
