id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::0,['backpack'],A large backpack or camera bag.,0.0,"['A large backpack or duffel bag.', 'A large backpack or messenger bag.', 'A large backpack or messenger bag.', 'Camera bag.', 'Camera bag.', 'Camera bag.', 'A large backpack or bag.', 'A large backpack or multiple pouches/cases.', 'Backpack or large bag.', 'A large backpack or messenger bag.']",1.5047882836811908,What kind of container might someone carry these things in?,,True,0.5116855762986767,1,correct_low
train::1,['fine'],The sign warns of pedestrians crossing. The penalty for not yielding to them would be a traffic violation.,0.0,"['Not specified.', 'The sign warns of pedestrians, so not obeying it could result in hitting a pedestrian.', 'The sign warns of pedestrian crossing; the penalty for not yielding to pedestrians is likely a fine or other traffic violation.', 'The sign indicates a pedestrian crossing. Not obeying traffic laws there could result in a fine or accident.', 'Not specified.', 'The sign warns of pedestrians. The penalty for not yielding to them would likely be a traffic violation.', 'Traffic fines or worse.', 'The sign warns of pedestrians, so the penalty would be for endangering or hitting a pedestrian.', 'The sign warns of pedestrian crossing - no penalty is explicitly stated, but failure to yield could result in a traffic violation.', 'The sign warns of pedestrians, so the penalty would likely be for endangering a pedestrian.']",2.025326220770068,What is the penalty for not obeying the law on the sign?,,False,0.5116855762986767,1,incorrect_low
train::10,['pedestrian'],Pedestrians.,0.0,"['Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.', 'Pedestrians.']",-0.0,Who has the right of way here?,,True,0.5116855762986767,0,correct_high
train::100,['kitchen'],A kitchen.,1.0,"['A kitchen.', 'A kitchen.', 'A kitchen.', 'Kitchen.', 'A kitchen.', 'A kitchen.', 'A kitchen.', 'A kitchen.', 'A kitchen.', 'A kitchen.']",-0.0,Which room is this?,,True,0.5116855762986767,0,correct_high
train::101,['100 mph'],"Difficult to say without knowing the model, but likely 150+ mph.",0.0,"['Difficult to say without knowing the model, but likely over 150 mph.', ""It's impossible to say without knowing the bike's model and condition."", 'Difficult to say without knowing the specific model, but likely 150+ mph.', 'Approximately 180-200 mph (290-320 km/h).', 'Impossible to determine from the image.', 'Difficult to say without knowing the model, but likely over 150 mph (240 km/h).', 'Difficult to say without knowing the specific model and modifications, but likely over 150 mph (241 km/h).', ""It's impossible to say exactly without knowing the bike's specifics, but likely over 150 mph (240 km/h)."", 'Difficult to say without knowing the specific model, but likely 150+ mph.', 'Difficult to say without knowing the model, but likely 150+ mph.']",1.6094379124341,How fast can this bike go?,,False,0.5116855762986767,1,incorrect_low
train::102,['read'],Storage.,0.0,"['Bookshelves and storage.', 'Storage and display.', 'Storage.', 'Storage and decoration.', 'Storage.', 'Storage and display.', 'Storage and decoration.', 'Storage and display.', 'Storage and decoration.', 'Storage and display.']",0.8018185525433373,What are the items to the right used for?,,False,0.5116855762986767,1,incorrect_low
train::103,['violet'],Sweet peas.,0.0,"['Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.', 'Sweet peas.']",-0.0,What type of flowers are in the pot?,,False,0.5116855762986767,0,incorrect_high
train::104,['redwood'],Evergreen trees.,0.0,"['Coniferous trees (likely Douglas fir or similar).', 'Evergreen trees (likely Douglas fir or similar).', 'Coniferous (evergreen) trees.', 'Coniferous (evergreen) trees.', 'Coniferous trees (likely Douglas fir or similar).', 'Evergreen trees.', 'Conifers (likely Douglas fir or similar).', 'Coniferous trees (likely Douglas fir or similar).', 'Evergreen trees.', 'Evergreen trees.']",1.2798542258336676,Wich kind of trees are shown in this photo?,,False,0.5116855762986767,1,incorrect_low
train::105,['casually'],Casually.,1.0,"['Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.', 'Casually.']",-0.0,Are these people formally or casually dressed?,,True,0.5116855762986767,0,correct_high
train::106,['steamed'],"It's difficult to tell from the image, but it appears to be raw.",0.0,"[""It's difficult to tell from the image, but it likely hasn't been steamed or baked. It appears raw."", ""It's difficult to tell from the image."", ""It's difficult to tell from the image."", 'Not specified.', ""It's difficult to tell from the image, but it appears to be raw."", ""It's difficult to tell from the image."", ""It's difficult to tell from the image, but it likely isn't steamed or baked - it appears to be raw."", ""It's difficult to tell from the image, but they appear to be **steamed**."", ""It's difficult to tell from the image, but it appears to be raw."", 'Unclear.']",1.2798542258336674,Is the broccoli on the plate steamed or baked?,,False,0.5116855762986767,1,incorrect_low
