id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category,DSE_threshold,DSE_b_entropy,category_dse
train::0,['mesophilic organisms'],bacteria,0.0,"['bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria', 'bacteria']",-0.0,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,-0.0001703355665085,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::1,['coriolis effect'],Coriolis effect,1.0,"['Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect', 'Coriolis effect']",-0.0,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,-4.506009645410813e-05,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10,['active metal'],reducing agent,0.0,"['reducing agent', 'reducing agent', 'reactive', 'reducing agent', 'reactive', 'reducing agent', 'reducing agent', 'reducing agent', 'reducing agent', 'reactive']",-0.0,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",-0.0015262633096426,True,0.5636363636363636,correct_high,0.33352217649665894,0,correct_high
train::100,['equilibrium'],equilibrium,1.0,"['equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium', 'equilibrium']",-0.0,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",-0.0001170566683867,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::1000,['mechanical energy'],kinetic energy,1.0,"['kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy', 'kinetic energy']",-0.0,What is the term for the energy of movement?,-9.190614218823612e-05,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10000,['nonliving environment'],nonliving things,1.0,"['nonliving things', 'nonliving things', 'nonliving things', 'nonliving things', 'nonliving things', 'nonliving things', 'nonliving things', 'nonliving things', 'nonliving things', 'nonliving things']",-0.0,An ecosystem consists of all the living things and what?,-0.0001650912308832,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10001,['photosynthesis'],photosynthesis,1.0,"['photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'Photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis', 'photosynthesis']",-0.0,Mesophyll consists mainly of parenchyma cells specialized for what?,-0.000193815518287,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10002,['bacterial'],bacterial,1.0,"['bacterial', 'bacterial', 'bacterial', 'Bacterial', 'bacterial', 'Bacterial', 'Bacterial', 'Bacterial', 'bacterial', 'Bacterial']",-0.0,Antibiotic drugs are usually effective in treating what kind of infections?,-0.0003885467885993,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10003,['true north'],True North,1.0,"['True North', 'True north', 'True North', 'True north', 'True north', 'true north', 'True north', 'True north', 'True north', 'True North']",-0.0,What is earth’s geographic north pole also called?,-0.0036340404767543,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10004,['abiotic factors'],abiotic factors,1.0,"['abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors', 'abiotic factors']",-0.0,What are the nonliving aspects of the environment called?,-0.0001192021882161,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10005,['thermodynamics'],conservation,0.0,"['conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation', 'conservation']",-0.0,Chemical reactions follow the laws of what?,-0.0022115076426416,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10006,['solution'],solution,1.0,"['solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution', 'solution']",-0.0,What do you call a mixture of two or more substances in which dissolved particles are distributed evenly throughout?,-7.426462980220094e-05,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10007,['precipitation'],precipitation,1.0,"['precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation', 'precipitation']",-0.0,What is the water that falls from the sky called?,-0.0001071634105755,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10008,['veins'],vein,0.0,"['vein', 'vein', 'vein', 'vein', 'vein', 'vein', 'vein', 'vein', 'vein', 'vein']",-0.0,What returns blood from capillaries to an atrium?,-0.0001182486230391,True,1.0,correct_high,0.33352217649665894,0,correct_high
train::10009,['circulatory'],circulatory,1.0,"['circulatory', 'circulatory', 'circulatory', 'circulatory', 'circulatory', 'circulatory', 'circulatory', 'circulatory', 'circulatory', 'circulatory']",-0.0,"Hemolymph bathes organs directly in arthropods and most molluscs, due to an open type of what system?",-0.0002197977737523,True,1.0,correct_high,0.33352217649665894,0,correct_high
