id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::0,['Fernie Alpine Resort'],Colorado,0.0,"['Wisconsin', 'Wisconsin', 'Colorado', 'Colorado', 'Wisconsin', 'Michigan', 'Wisconsin', 'Colorado', 'Colorado', 'Wisconsin']",0.9433483923290392,where did they film hot tub time machine?,-2.4661941528320312,False,0.9535958466520793,0,incorrect_high
train::1,['Neither vessel'],the ship that is to port,0.0,"['the ship that is to port', 'all vessels are equal', 'no one', 'the vessel that is to starboard', 'the ship that is to starboard', 'the vessel that is to port', 'the first ship to arrive', 'the ship that is to starboard', 'the ship that is to port', 'no one']",1.5047882836811908,who has the right of way in international waters?,-3.170853614807129,False,0.9535958466520793,1,incorrect_low
train::10001,['Bruce Hornsby and the Range'],George Benson,0.0,"['Michael Sembello', 'George Benson', 'Steve Perry', 'George Benson', ""Shakin' Stevens"", 'Kenny Rogers', 'George Benson', 'Glenn Frey', 'George Benson', 'George Benson']",1.4978661367769952,who sang it just the way it is?,-1.2282946109771729,False,0.9535958466520793,1,incorrect_low
train::10004,['1894'],1867,0.0,"['1867', '1867', '1867', '1867', '1874', '1867', '1867', '1867', '1871', '1867']",0.639031859650177,when did laura ingalls wilder move to missouri?,-1.7043683528900146,False,0.9535958466520793,0,incorrect_high
train::10006,['100'],12,0.0,"['31', '40', '500', '28', '58', '12', '4000', '28', '12', '28']",1.834371970281624,how many statues are there on crosby beach?,-2.1309597492218018,False,0.9535958466520793,1,incorrect_low
train::10007,"['Swindon, England']","Swindon, England",1.0,"['Swindon, England', 'Swindon', 'Swindon, England', 'Swindon, England', 'Swindon, England', 'Swindon, England', 'Swindon, England', 'Swindon, United Kingdom', 'Swindon, England', 'Swindon, England']",-0.0,where is the 2018 civic type r made?,-0.4312662482261657,True,0.9535958466520793,0,correct_high
train::10009,"['Scarecrow', 'Tin Woodman', 'Cowardly Lion']","Glinda, the Scarecrow, and the Tin Man",0.0,"['the scarecrow, the tin woodsman, and the cowardly lion', 'Glinda, the Scarecrow, and the Tin Man', 'Glinda, the Wizard, and the Scarecrow', 'Glinda, the Scarecrow, the Tin Man', 'Glinda the Good Witch, the Scarecrow, and the Tin Man', 'Glinda, the Scarecrow, the Tin Man, and the Cow', 'Glinda, Scarecrow, Tin Man', 'the scarecrow, the tin man and the cowardly lion', 'Glinda, the Scarecrow, the Tin Man', 'the scarecrow, the tin man, and the cowardly lion']",1.6094379124341005,dorothy and toto's three travelling companions to oz?,-2.12892484664917,False,0.9535958466520793,1,incorrect_low
train::1001,['Eva Dugan'],Mary D. Ellsworth,0.0,"['Mary D. Ellery', 'Mary D. Ellington', 'Mary D. Williams', 'Maria Manuelita', 'Mary D. Green', 'Mary D. Eastwood', 'Maria Amparo Pabst', 'Mariaite ""Lizzie"" Davis', 'Mary D. Heglar', 'Mary D. Ellsworth']",2.302585092994045,first woman to be hung in arizona territory?,-1.8186442852020264,False,0.9535958466520793,1,incorrect_low
train::10010,['24th'],12th,0.0,"['19th', '3rd', '24th', '23rd', '12th', '23rd', '12th', '23rd', '23rd', '20th']",1.6094379124341005,where did great britian come in eurovision 2018?,-2.240938901901245,False,0.9535958466520793,1,incorrect_low
train::10015,['erogenous zone'],erogenous zones,1.0,"['erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones', 'erogenous zones']",-0.0,areas of the body that seem to be more sexually responsive to stimulation are called?,-0.0308324601501226,True,0.9535958466520793,0,correct_high
