id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category,DSE_threshold,DSE_b_entropy,category_dse
train::0,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,"Mike made 69 dollars mowing lawns over the summer. If he spent 24 dollars buying new mower blades, how many 5 dollar games could he buy with the money he had left?",-0.0088238082826137,True,1.0,correct_high,0.32787206930940255,0,correct_high
train::1,['10'],11,0.0,"['11', '11', '11', '11', '11', '11', '11', '11', '11', '11']",-0.0,"Bill is a painter who is hired to paint a client’s house. The house has three bedrooms, and twice as many other rooms as bedrooms. The client wants each bedroom painted a different color, and the other rooms painted white. Each room takes 2 gallons of paint. Color paint comes in 1-gallon paint cans, and white paint comes in 3-gallon cans. How many cans of paint will Bill need for the whole house?",-4.264655113220215,False,1.0,incorrect_high,0.32787206930940255,0,incorrect_high
train::10,['18'],36,0.0,"['36', '36', '36', '36', '36', '36', '36', '36', '36', '36']",-0.0,Billy can spit a watermelon seed 30 inches.  Madison can spit a watermelon seed 20% farther than Billy.  Ryan can spit a watermelon seed 50% shorter than Madison.  How far can Ryan spit a watermelon seed?,-1.6006888151168823,False,1.0,incorrect_high,0.32787206930940255,0,incorrect_high
train::100,['80'],60,0.0,"['60', '60', '60', '60', '60', '60', '60', '60', '60', '60']",-0.0,"Abigail has a report due tomorrow which needs to be 1000 words in length. Abigail can type 300 words in half an hour. If she has already written 200 words, how many more minutes will it take her to finish the report?",-0.7583215832710266,False,1.0,incorrect_high,0.32787206930940255,0,incorrect_high
train::1000,['2500'],1000,0.0,"['1000', '1000', '3000', '1000', '7000', '7000', '1000', '1000', '2000', '4000']",1.3592367006650063,"Jonathan eats 2500 calories every day except for Saturday, when he consumes an extra 1000 calories.  He burns 3000 calories every day.  What is his weekly caloric deficit?",-0.4745324254035949,False,0.2909090909090909,incorrect_low,0.32787206930940255,1,incorrect_low
train::1001,['45'],$54,0.0,"['$54', '$54', '$54', '$54', '$27', '$9', '$54', '$54', '$54', '$54']",0.639031859650177,There are 50 goldfish in the pond. Each goldfish eats 1.5 ounces of food per day. 20% of the goldfish need to eat special food that costs $3 an ounce. How much does it cost to feed these fish?,-4.018548488616943,False,0.6545454545454545,incorrect_high,0.32787206930940255,1,incorrect_low
train::1002,['26'],26,1.0,"['26', '26', '26', '26', '26', '26', '26', '26', '26', '26']",-0.0,"A waiter at 'The Greasy Spoon' restaurant had 26 customers to wait on. During the lunch rush he added another 27 customers. If 27 of the customers didn't leave him a tip, how many customers did leave a tip?",-3.773805856704712,True,1.0,correct_high,0.32787206930940255,0,correct_high
train::1003,['17'],13,0.0,"['13', '13', '13', '13', '13', '13', '13', '13', '13', '13']",-0.0,There were 8 people on the bus. At the next stop 12 more people got on the bus and 3 people got off..How many people are there on the bus now?,-0.282594621181488,False,1.0,incorrect_high,0.32787206930940255,0,incorrect_high
train::1004,['60'],60,1.0,"['60', '60', '60', '60', '60', '60', '60', '60', '60', '60']",-0.0,Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars..How much money did Jason earn by delivering newspapers?,-0.0058431052602827,True,1.0,correct_high,0.32787206930940255,0,correct_high
train::1005,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,"A book has 8 chapters. Beth has read 2 chapters in 3 hours. If she continues reading at that rate, in how many hours will she be able to finish reading the remaining chapters?",-3.168349027633667,True,1.0,correct_high,0.32787206930940255,0,correct_high
train::1007,['285'],218,0.0,"['218', '215', '219', '215', '218', '216', '219', '218', '218', '183']",-0.0,"At the gym, every day, there are 300 towels laid out for guest use.  Each guest is given 1 towel during their visit.  The gym is open from 10:00 a.m. to 2:00 p.m. In the first hour, 50 guests enter the gym.  In the second hour, 20% more guests enter than during the first hour.  In the third hour, 25% more guests enter than in the second hour.  In the fourth hour, one third more guests enter than in the third hour.  In total, how many towels do they need to wash that evening?",-4.264575481414795,False,0.2181818181818181,incorrect_low,0.32787206930940255,0,incorrect_high
train::1008,['1'],6,0.0,"['6', '6', '1.2', '6', '1.2', '6', '6', '1.2', '6', '12']",0.3250829733914482,Jack has a grove with 4 trees by 5 trees.  It takes 6 minutes to clean each tree.  He gets help to clean the trees so it only takes half as long.  How many hours did he spend cleaning trees?,-4.018637657165527,False,0.4363636363636363,incorrect_low,0.32787206930940255,0,incorrect_high
train::101,['134'],75.8,0.0,"['74.6', '75.2', '72.8', '74.6', '75.8', '72.8', '75.8', '75.8', '70.6', '72.8']",1.313834033192747,Ajax is 80 kilograms. He is planning to lose some weight. Exercising for an hour will help him lose 1.5 pounds. If 1 kilogram is equal to 2.2 pounds How many pounds will he weigh if he exercises for 2 hours every day for two weeks?,-4.883312225341797,False,0.1818181818181818,incorrect_low,0.32787206930940255,1,incorrect_low
