id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
train::7807,energy,heat energy,1.0,"['energy', 'heat energy', 'adding heat', 'adding heat', 'heat energy', 'heat energy', 'heat energy', 'heat energy', 'energy', 'adding heat']",1.0296530140645737,What is required to partially overcome the attractive forces between molecules in a solid to form a liquid?,-0.0500511266291141,True,0.3454545454545454,correct_low
train::751,mutations,genetic variation,0.0,"['mutations', 'mutations', 'mutations', 'genetic variations', 'genetic variations', 'genetic variation', 'mutations', 'mutations', 'genetic variation', 'genetic variations']",0.6931471805599453,What are the key to species evolving?,-0.5785143971443176,True,0.2909090909090909,correct_low
train::1946,equator,equator,1.0,"['equator', 'equator', 'equator', 'equator', 'equator', 'equator', 'equator', 'equator', 'equator', 'equator']",-0.0,What line of latitude is an equal distance from both the north and south poles?,-0.0058579193428158,True,1.0,correct_high
train::9337,vapor,gas,0.0,"['gas', 'gas', 'vapor', 'gas', 'vapor', 'gas', 'vapor', 'vapor', 'vapor', 'vapor']",0.6730116670092565,"When a liquid is heated, molecules with enough kinetic energy escape the liquid and become what?",-0.2555293142795563,True,0.4545454545454545,correct_low
train::928,the stem,stem,1.0,"['stem', 'stem', 'stem', 'stem', 'stem', 'stem', 'stem', 'stem', 'stem', 'stem']",-0.0,What part of the plant holds the plant upright?,-0.0159685332328081,True,1.0,correct_high
train::7792,photoelectrolysis,electrolysis,0.0,"['electrolysis', 'electrolysis', 'electrolysis', 'photolysis', 'electrolysis', 'electrolysis', 'electrolysis', 'photoelectrolysis', 'electrolysis', 'electrolysis']",0.639031859650177,What is the generation of electricity using photovoltaic cells to split water molecules called?,-2.580073118209839,False,0.6545454545454545,incorrect_high
train::4841,gravity,gravity,1.0,"['gravity', 'gravity', 'gravity', 'gravity', 'gravity', 'gravity', 'gravity', 'gravity', 'gravity', 'gravity']",-0.0,What pulls skydivers towards the earth?,-0.0091769322752952,True,1.0,correct_high
train::5515,biomass,humus,0.0,"['humus', 'fresh organic matter', 'humus', 'humus', 'humus', 'fresh organic matter', 'fresh organic matter', 'humus', 'humus', 'humus']",0.6108643020548935,What is the organic material that comes from plants and animals that were recently living called?,-1.911489725112915,False,0.5636363636363636,incorrect_high
train::5970,the matrix,cristae,0.0,"['cristae', 'cristae', 'cristae', 'cristae', 'cristae', 'mitochondrial matrix', 'cristae', 'cristae', 'cristae', 'cristae']",0.3250829733914482,"Besides the inner membrane, where are many respiratory enzymes found?",-0.0626436993479728,False,0.8181818181818182,incorrect_high
train::11464,altitude,altitude,1.0,"['height', 'altitude', 'altitude', 'altitude', 'increasing altitude', 'increasing altitude', 'increasing altitude', 'altitude', 'altitude', 'increasing height']",-0.0,Density and pressure of air decreases with what?,-0.026999793946743,True,0.3272727272727272,correct_low
train::2133,solid,liquid,0.0,"['liquid', 'liquid', 'liquid', 'liquid', 'liquid', 'liquid', 'liquid', 'liquid', 'liquid', 'liquid or solid']",0.3250829733914482,Deposition refers to when a gas changes to what state?,-0.28262659907341,False,0.8181818181818182,incorrect_high
train::6100,mammary glands,alveoli,0.0,"['alveoli', 'alveoli', 'alveoli', 'alveoli', 'alveoli', 'alveoli', 'alveoli', 'alveoli', 'alveoli', 'alveolar glands']",-0.0,What glands in the breast secrete milk?,-0.0443590134382247,False,0.8181818181818182,incorrect_high
train::11503,groundwater,infiltration,0.0,"['infiltration', 'infiltration', 'infiltration', 'infiltration', 'infiltration', 'infiltration', 'infiltration', 'infiltration', 'infiltration', 'infiltration']",-0.0,When the ground absorbs the water and it settles below the surface it is called what?,-0.0106189679354429,False,1.0,incorrect_high
train::9757,axons,neurons,0.0,"['neurons', 'neurons', 'neurons', 'neurons', 'neurons', 'neurons', 'nerves', 'neurons', 'neurons', 'neurons']",0.3250829733914482,What do nerve impulses travel along?,-0.0630742460489273,False,0.8181818181818182,incorrect_high
train::578,reduced,reduced,1.0,"['low', 'reduced', 'reduced', 'decreased', 'low', 'reduced', 'decreased', 'decreased', 'reduced', 'reduced']",-0.0,"Without the dominant disturbance, the fire-adapted species are usually outcompeted and biodiversity is what?",-0.0559819191694259,True,0.3454545454545454,correct_low
train::7552,thermonuclear power,thermonuclear power,1.0,"['thermonuclear power', 'inertial confinement', 'nuclear fusion energy', 'thermonuclear energy', 'inertial confinement fusion', 'thermonuclear power', 'thermonuclear energy', 'thermonuclear energy', 'thermonuclear power', 'thermonuclear power']",1.2798542258336674,What is the name given to the use of controlled nuclear fusion as an energy source?,-0.5289123058319092,True,0.2363636363636363,correct_low
train::8030,physical,physical,1.0,"['physical', 'physical', 'physical', 'physical', 'physical', 'physical', 'physical property', 'physical property', 'physical property', 'physical property']",-0.0,Attraction of a material by a magnet is an example of what type of property?,-0.1276386380195617,True,0.4909090909090909,correct_low
