id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::100,['6'],4,0.0,"['2', '4', '2', '4', 'There are two stripes visible in the picture.', '4', '2', '5', '3', '8']",1.6434177197931796,How many stripes in total?,,False,0.8140452349615311,1,incorrect_low
train::105,['3'],3,1.0,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",-0.0,how many lights are there?,,True,0.8140452349615311,0,correct_high
train::107,['lightning'],snowflake,0.0,"['The weather symbol on the black part of the ski is a snowflake, indicating that it might be snowing or that skiing/snowboarding are conditions involving snow.', 'snow', 'cloud', 'bird', 'snowflakes', 'The weather symbol on the black part of the ski is not visible in this image. The ski is tilted, and only part of its surface is shown, focusing on the snow instead.', 'snowflake', 'winter', 'cloud', 'snowflake']",1.834371970281624,What weather symbol is on the black part of the ski?,,False,0.8140452349615311,1,incorrect_low
train::108,['4'],3,0.0,"['3', '3', 'Two', '3', '2', '2', 'Three.', '3', 'Three people in the photo are wearing sunglasses.', '3']",0.6108643020548935,How many people in this photo are wearing sunglasses?,,False,0.8140452349615311,0,incorrect_high
train::109,['4'],6,0.0,"['6', '5', '6', 'There are six coffee cups visible in the image.', '6', '4', '6', '6', '5', '6']",1.0888999753452235,How many coffee cups are there?,,False,0.8140452349615311,1,incorrect_low
train::113,['england'],England,1.0,"['England', 'The bear in the picture has ""England"" written on its shirt.', 'england', 'England', 'England', 'England', 'The bear\'s shirt says ""England.""', 'England', ""The country depicted on the bear's shirt is England."", 'The bear\'s shirt contains the word ""England,"" suggesting that the country is England.']",0.6730116670092565,What country is on the bear's shirt?,,True,0.8140452349615311,0,correct_high
train::114,['2'],2,1.0,"['2', '3', '1', '2', '2', '2', '2', '4', '4', '2']",1.0888999753452238,how many pieces of meat?,,True,0.8140452349615311,1,correct_low
train::117,['flowers'],flowers,1.0,"['flowers', 'flowers', 'flowers', 'flowers', 'flowers', 'flowers', 'flowers', 'flowers', 'flowers', 'flowers']",-0.0,what is on the blanket?,,True,0.8140452349615311,0,correct_high
train::119,['12:13'],The exact time is 12:50.,0.0,"[""It's not specified, an estimate would be provided."", 'The clock in the image shows 12:10.', '12:40', '12:47', '12:54', '6:56', '4:03', '12:49', '10:05', '4:05']",2.302585092994045,What is the exact time?,,False,0.8140452349615311,1,incorrect_low
train::121,['6200'],6200,1.0,"['200', '200', '6020', '200', '6200', '200', '8200', '6200', '6200', '6200']",1.1935496040981333,what number is on the bottom left of the bus?,,True,0.8140452349615311,1,correct_low
train::125,['32'],3,0.0,"['3', '3', '3', '3', '3', '3', '3', '2', '3', '3']",0.3250829733914482,What is the third number in the series of four numbers on the black rectangular sign?,,False,0.8140452349615311,0,incorrect_high
train::127,['taxed'],Taxed,1.0,"['TAXED', 'Taxed', '税务足够', 'Taxed', 'Taxed', 'Taxed', 'Taxed.', 'TAXED', 'TAXED', 'Taxed']",0.3250829733914482,What's the first word on the sign?,,True,0.8140452349615311,0,correct_high
